indice_tiempo,region_de_destino,categoria_del_hotel,tarifa_media_diaria_en_usd,observaciones
2012-02-01,Cuyo,3 estrellas/boutiques/aparts,66.89,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-02-01,Cuyo,4 y 5 estrellas,105.96,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-02-01,Cuyo,Para Hoteles,33.7,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-02-01,Cuyo,Total,62.54,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-02-01,Córdoba,1 y 2 estrellas,56.65,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-02-01,Córdoba,3 estrellas/boutiques/aparts,85.77,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-02-01,Córdoba,4 y 5 estrellas,81.64,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-02-01,Córdoba,Para Hoteles,80.72,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-02-01,Córdoba,Total,73.9,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-02-01,Litoral,1 y 2 estrellas,49.99,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-02-01,Litoral,3 estrellas/boutiques/aparts,61.94,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-02-01,Litoral,4 y 5 estrellas,101.39,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-02-01,Litoral,Para Hoteles,58.29,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-02-01,Litoral,Total,69.62,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-02-01,Norte,1 y 2 estrellas,44.14,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-02-01,Norte,3 estrellas/boutiques/aparts,64.79,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
