indice_tiempo,region_de_destino,categoria_del_hotel,tarifa_media_diaria_en_usd,observaciones
2014-11-01,Cuyo,4 y 5 estrellas,92.34,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-11-01,Cuyo,Para Hoteles,22.32,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-11-01,Cuyo,Total,59.33,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-11-01,Córdoba,1 y 2 estrellas,31.75,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-11-01,Córdoba,3 estrellas/boutiques/aparts,48.54,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-11-01,Córdoba,4 y 5 estrellas,75.28,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-11-01,Córdoba,Para Hoteles,68.88,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-11-01,Córdoba,Total,52.2,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-11-01,Litoral,1 y 2 estrellas,39.44,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-11-01,Litoral,3 estrellas/boutiques/aparts,51.32,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-11-01,Litoral,4 y 5 estrellas,98.28,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-11-01,Litoral,Para Hoteles,48.76,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-11-01,Litoral,Total,67.17,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-11-01,Norte,1 y 2 estrellas,39.52,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-11-01,Norte,3 estrellas/boutiques/aparts,73.9,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-11-01,Norte,4 y 5 estrellas,80.17,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-11-01,Norte,Para Hoteles,27.16,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-11-01,Norte,Total,58.28,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-11-01,Patagonia,1 y 2 estrellas,48.79,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-11-01,Patagonia,3 estrellas/boutiques/aparts,82.25,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-11-01,Patagonia,4 y 5 estrellas,118.16,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-11-01,Patagonia,Para Hoteles,48.57,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-11-01,Patagonia,Total,77.97,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Buenos Aires,1 y 2 estrellas,40.86,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Buenos Aires,3 estrellas/boutiques/aparts,76.63,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Buenos Aires,4 y 5 estrellas,116.48,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Buenos Aires,Para Hoteles,61.14,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Buenos Aires,Total,71.13,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,CABA,1 y 2 estrellas,42.99,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,CABA,3 estrellas/boutiques/aparts,67.22,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,CABA,4 y 5 estrellas,113.23,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,CABA,Para Hoteles,22.4,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,CABA,Total,77.15,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Cuyo,1 y 2 estrellas,33.34,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Cuyo,3 estrellas/boutiques/aparts,48.84,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Cuyo,4 y 5 estrellas,92.74,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Cuyo,Para Hoteles,21.83,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Cuyo,Total,53.21,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Córdoba,1 y 2 estrellas,34.41,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Córdoba,3 estrellas/boutiques/aparts,58.94,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Córdoba,4 y 5 estrellas,70.11,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Córdoba,Para Hoteles,69.66,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Córdoba,Total,55.9,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Litoral,1 y 2 estrellas,41.35,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Litoral,3 estrellas/boutiques/aparts,51.64,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Litoral,4 y 5 estrellas,106.28,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Litoral,Para Hoteles,55.26,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Litoral,Total,70.55,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Norte,1 y 2 estrellas,38.99,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Norte,3 estrellas/boutiques/aparts,93.16,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Norte,4 y 5 estrellas,77.12,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Norte,Para Hoteles,26.77,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Norte,Total,62.72,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Patagonia,1 y 2 estrellas,56.01,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Patagonia,3 estrellas/boutiques/aparts,88.97,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Patagonia,4 y 5 estrellas,132.19,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Patagonia,Para Hoteles,47.51,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2014-12-01,Patagonia,Total,80.97,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Buenos Aires,1 y 2 estrellas,45.1,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Buenos Aires,3 estrellas/boutiques/aparts,105.08,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Buenos Aires,4 y 5 estrellas,155.29,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Buenos Aires,Para Hoteles,75.39,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Buenos Aires,Total,82.48,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,CABA,1 y 2 estrellas,41.36,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,CABA,3 estrellas/boutiques/aparts,63.54,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,CABA,4 y 5 estrellas,107.22,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,CABA,Para Hoteles,21.19,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,CABA,Total,73.68,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Cuyo,1 y 2 estrellas,43.57,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Cuyo,3 estrellas/boutiques/aparts,65.03,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Cuyo,4 y 5 estrellas,105,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Cuyo,Para Hoteles,46.96,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Cuyo,Total,68.51,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Córdoba,1 y 2 estrellas,53.3,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Córdoba,3 estrellas/boutiques/aparts,81.91,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Córdoba,4 y 5 estrellas,76.89,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Córdoba,Para Hoteles,82.79,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Córdoba,Total,73.2,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Litoral,1 y 2 estrellas,54.31,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Litoral,3 estrellas/boutiques/aparts,54.12,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Litoral,4 y 5 estrellas,106.84,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Litoral,Para Hoteles,57.32,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Litoral,Total,72.28,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Norte,1 y 2 estrellas,39.79,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Norte,3 estrellas/boutiques/aparts,76.72,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Norte,4 y 5 estrellas,91.43,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Norte,Para Hoteles,34.77,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Norte,Total,58.63,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Patagonia,1 y 2 estrellas,76.36,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Patagonia,3 estrellas/boutiques/aparts,101.22,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Patagonia,4 y 5 estrellas,160.71,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Patagonia,Para Hoteles,72.77,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-01-01,Patagonia,Total,100.25,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Buenos Aires,1 y 2 estrellas,41.45,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Buenos Aires,3 estrellas/boutiques/aparts,93.77,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Buenos Aires,4 y 5 estrellas,140.49,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Buenos Aires,Para Hoteles,65.53,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Buenos Aires,Total,74.33,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,CABA,1 y 2 estrellas,42.87,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,CABA,3 estrellas/boutiques/aparts,64.3,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,CABA,4 y 5 estrellas,103.92,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,CABA,Para Hoteles,23.14,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,CABA,Total,73.32,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Cuyo,1 y 2 estrellas,46.6,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Cuyo,3 estrellas/boutiques/aparts,65.07,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Cuyo,4 y 5 estrellas,101.49,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Cuyo,Para Hoteles,40.85,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Cuyo,Total,66.97,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Córdoba,1 y 2 estrellas,46.3,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Córdoba,3 estrellas/boutiques/aparts,78.16,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Córdoba,4 y 5 estrellas,76.96,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Córdoba,Para Hoteles,79.23,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Córdoba,Total,68.83,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Litoral,1 y 2 estrellas,49.07,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Litoral,3 estrellas/boutiques/aparts,51.62,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Litoral,4 y 5 estrellas,105.72,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Litoral,Para Hoteles,55.04,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Litoral,Total,69.72,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Norte,1 y 2 estrellas,41.01,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Norte,3 estrellas/boutiques/aparts,86.81,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Norte,4 y 5 estrellas,91.28,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Norte,Para Hoteles,32.5,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Norte,Total,62.01,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Patagonia,1 y 2 estrellas,69.41,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Patagonia,3 estrellas/boutiques/aparts,97.3,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Patagonia,4 y 5 estrellas,150.45,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Patagonia,Para Hoteles,67.4,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-02-01,Patagonia,Total,94.59,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Buenos Aires,1 y 2 estrellas,36.55,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Buenos Aires,3 estrellas/boutiques/aparts,65.58,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Buenos Aires,4 y 5 estrellas,113.43,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Buenos Aires,Para Hoteles,54.68,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Buenos Aires,Total,65.59,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,CABA,1 y 2 estrellas,43.08,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,CABA,3 estrellas/boutiques/aparts,65,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,CABA,4 y 5 estrellas,107.94,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,CABA,Para Hoteles,23.71,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,CABA,Total,75.57,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Cuyo,1 y 2 estrellas,43.74,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Cuyo,3 estrellas/boutiques/aparts,57.5,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Cuyo,4 y 5 estrellas,98.61,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Cuyo,Para Hoteles,32.12,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Cuyo,Total,63.37,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Córdoba,1 y 2 estrellas,39.88,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Córdoba,3 estrellas/boutiques/aparts,60.52,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Córdoba,4 y 5 estrellas,73.74,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Córdoba,Para Hoteles,64.15,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Córdoba,Total,57.15,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Litoral,1 y 2 estrellas,45.17,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Litoral,3 estrellas/boutiques/aparts,50.7,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Litoral,4 y 5 estrellas,100.91,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Litoral,Para Hoteles,52.79,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Litoral,Total,67.58,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Norte,1 y 2 estrellas,39.44,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Norte,3 estrellas/boutiques/aparts,86.14,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Norte,4 y 5 estrellas,91.51,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Norte,Para Hoteles,30.78,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Norte,Total,64.87,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Patagonia,1 y 2 estrellas,60.67,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Patagonia,3 estrellas/boutiques/aparts,91.8,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Patagonia,4 y 5 estrellas,133.26,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Patagonia,Para Hoteles,56.16,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-03-01,Patagonia,Total,86.75,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Buenos Aires,1 y 2 estrellas,26.67,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Buenos Aires,3 estrellas/boutiques/aparts,66.7,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Buenos Aires,4 y 5 estrellas,108.49,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Buenos Aires,Para Hoteles,58.86,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Buenos Aires,Total,66.75,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,CABA,1 y 2 estrellas,43.19,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,CABA,3 estrellas/boutiques/aparts,64.27,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,CABA,4 y 5 estrellas,103.22,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,CABA,Para Hoteles,24.46,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,CABA,Total,72.99,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Cuyo,1 y 2 estrellas,41.84,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Cuyo,3 estrellas/boutiques/aparts,56.68,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Cuyo,4 y 5 estrellas,98.35,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Cuyo,Para Hoteles,31.71,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Cuyo,Total,64.08,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Córdoba,1 y 2 estrellas,33.69,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Córdoba,3 estrellas/boutiques/aparts,53.42,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Córdoba,4 y 5 estrellas,73.3,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Córdoba,Para Hoteles,65.99,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Córdoba,Total,54.87,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Litoral,1 y 2 estrellas,44.67,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Litoral,3 estrellas/boutiques/aparts,49.19,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Litoral,4 y 5 estrellas,98.24,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Litoral,Para Hoteles,55.52,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Litoral,Total,66.82,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Norte,1 y 2 estrellas,43.94,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Norte,3 estrellas/boutiques/aparts,72.6,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Norte,4 y 5 estrellas,99.96,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Norte,Para Hoteles,32.41,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Norte,Total,65.09,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Patagonia,1 y 2 estrellas,55.48,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Patagonia,3 estrellas/boutiques/aparts,87.43,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Patagonia,4 y 5 estrellas,122.4,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Patagonia,Para Hoteles,50.42,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-04-01,Patagonia,Total,84.3,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Buenos Aires,1 y 2 estrellas,24.9,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Buenos Aires,3 estrellas/boutiques/aparts,63.12,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Buenos Aires,4 y 5 estrellas,100.59,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Buenos Aires,Para Hoteles,53.62,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Buenos Aires,Total,63.5,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,CABA,1 y 2 estrellas,43.19,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,CABA,3 estrellas/boutiques/aparts,62.42,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,CABA,4 y 5 estrellas,101.8,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,CABA,Para Hoteles,24.45,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,CABA,Total,72.68,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Cuyo,1 y 2 estrellas,42.65,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Cuyo,3 estrellas/boutiques/aparts,55.52,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Cuyo,4 y 5 estrellas,101.71,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Cuyo,Para Hoteles,29.29,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Cuyo,Total,64.25,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Córdoba,1 y 2 estrellas,30.39,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Córdoba,3 estrellas/boutiques/aparts,54.91,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Córdoba,4 y 5 estrellas,76.36,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Córdoba,Para Hoteles,60.5,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Córdoba,Total,53.78,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Litoral,1 y 2 estrellas,44.71,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Litoral,3 estrellas/boutiques/aparts,50.87,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Litoral,4 y 5 estrellas,92.45,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Litoral,Para Hoteles,51.77,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Litoral,Total,64.44,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Norte,1 y 2 estrellas,43.96,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Norte,3 estrellas/boutiques/aparts,73.85,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Norte,4 y 5 estrellas,95.98,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Norte,Para Hoteles,28.15,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Norte,Total,63.25,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Patagonia,1 y 2 estrellas,54.27,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Patagonia,3 estrellas/boutiques/aparts,78.88,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Patagonia,4 y 5 estrellas,103.57,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Patagonia,Para Hoteles,43.21,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-05-01,Patagonia,Total,74.38,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-06-01,Buenos Aires,1 y 2 estrellas,23.1,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-06-01,Buenos Aires,3 estrellas/boutiques/aparts,61.06,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-06-01,Buenos Aires,4 y 5 estrellas,95.48,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-06-01,Buenos Aires,Para Hoteles,46.29,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-06-01,Buenos Aires,Total,59.21,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2015-06-01,CABA,1 y 2 estrellas,43.55,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
