indice_tiempo,region_de_destino,categoria_del_hotel,puestos_de_trabajo,observaciones
2012-04-01,Cuyo,4 y 5 estrellas,2626,""
2012-04-01,Cuyo,Para Hoteles,1233,""
2012-04-01,Córdoba,1 y 2 estrellas,1719,""
2012-04-01,Córdoba,3 estrellas/boutiques/aparts,1699,""
2012-04-01,Córdoba,4 y 5 estrellas,891,""
2012-04-01,Córdoba,Para Hoteles,2438,""
2012-04-01,Litoral,1 y 2 estrellas,1059,""
2012-04-01,Litoral,3 estrellas/boutiques/aparts,2183,""
2012-04-01,Litoral,4 y 5 estrellas,3630,""
2012-04-01,Litoral,Para Hoteles,2545,""
2012-04-01,Norte,1 y 2 estrellas,1027,""
2012-04-01,Norte,3 estrellas/boutiques/aparts,2088,""
2012-04-01,Norte,4 y 5 estrellas,1633,""
2012-04-01,Norte,Para Hoteles,1850,""
2012-04-01,Patagonia,1 y 2 estrellas,1517,""
2012-04-01,Patagonia,3 estrellas/boutiques/aparts,2713,""
2012-04-01,Patagonia,4 y 5 estrellas,3065,""
2012-04-01,Patagonia,Para Hoteles,2763,""
2012-05-01,Buenos Aires,1 y 2 estrellas,1320,""
2012-05-01,Buenos Aires,3 estrellas/boutiques/aparts,2086,""
2012-05-01,Buenos Aires,4 y 5 estrellas,1592,""
2012-05-01,Buenos Aires,Para Hoteles,3080,""
2012-05-01,CABA,1 y 2 estrellas,1017,""
2012-05-01,CABA,3 estrellas/boutiques/aparts,4000,""
2012-05-01,CABA,4 y 5 estrellas,8829,""
2012-05-01,CABA,Para Hoteles,1739,""
2012-05-01,Cuyo,1 y 2 estrellas,1277,""
2012-05-01,Cuyo,3 estrellas/boutiques/aparts,2038,""
2012-05-01,Cuyo,4 y 5 estrellas,2700,""
2012-05-01,Cuyo,Para Hoteles,1203,""
2012-05-01,Córdoba,1 y 2 estrellas,1329,""
2012-05-01,Córdoba,3 estrellas/boutiques/aparts,1659,""
2012-05-01,Córdoba,4 y 5 estrellas,877,""
2012-05-01,Córdoba,Para Hoteles,1845,""
2012-05-01,Litoral,1 y 2 estrellas,1011,""
2012-05-01,Litoral,3 estrellas/boutiques/aparts,2181,""
2012-05-01,Litoral,4 y 5 estrellas,3289,""
2012-05-01,Litoral,Para Hoteles,2321,""
2012-05-01,Norte,1 y 2 estrellas,1103,""
2012-05-01,Norte,3 estrellas/boutiques/aparts,2077,""
2012-05-01,Norte,4 y 5 estrellas,1631,""
2012-05-01,Norte,Para Hoteles,1901,""
2012-05-01,Patagonia,1 y 2 estrellas,1510,""
2012-05-01,Patagonia,3 estrellas/boutiques/aparts,2648,""
2012-05-01,Patagonia,4 y 5 estrellas,2679,""
2012-05-01,Patagonia,Para Hoteles,2160,""
2012-06-01,Buenos Aires,1 y 2 estrellas,1343,""
2012-06-01,Buenos Aires,3 estrellas/boutiques/aparts,1989,""
2012-06-01,Buenos Aires,4 y 5 estrellas,1501,""
2012-06-01,Buenos Aires,Para Hoteles,2634,""
2012-06-01,CABA,1 y 2 estrellas,1037,""
2012-06-01,CABA,3 estrellas/boutiques/aparts,3962,""
2012-06-01,CABA,4 y 5 estrellas,8808,""
2012-06-01,CABA,Para Hoteles,1752,""
2012-06-01,Cuyo,1 y 2 estrellas,1284,""
2012-06-01,Cuyo,3 estrellas/boutiques/aparts,1980,""
2012-06-01,Cuyo,4 y 5 estrellas,2991,""
2012-06-01,Cuyo,Para Hoteles,1150,""
2012-06-01,Córdoba,1 y 2 estrellas,1412,""
2012-06-01,Córdoba,3 estrellas/boutiques/aparts,1737,""
2012-06-01,Córdoba,4 y 5 estrellas,900,""
2012-06-01,Córdoba,Para Hoteles,1754,""
2012-06-01,Litoral,1 y 2 estrellas,1011,""
2012-06-01,Litoral,3 estrellas/boutiques/aparts,2081,""
2012-06-01,Litoral,4 y 5 estrellas,3521,""
2012-06-01,Litoral,Para Hoteles,2113,""
2012-06-01,Norte,1 y 2 estrellas,1225,""
2012-06-01,Norte,3 estrellas/boutiques/aparts,2077,""
2012-06-01,Norte,4 y 5 estrellas,1637,""
2012-06-01,Norte,Para Hoteles,1873,""
2012-06-01,Patagonia,1 y 2 estrellas,1921,""
2012-06-01,Patagonia,3 estrellas/boutiques/aparts,2622,""
2012-06-01,Patagonia,4 y 5 estrellas,2603,""
2012-06-01,Patagonia,Para Hoteles,2392,""
2012-07-01,Buenos Aires,1 y 2 estrellas,1192,""
2012-07-01,Buenos Aires,3 estrellas/boutiques/aparts,2167,""
2012-07-01,Buenos Aires,4 y 5 estrellas,1494,""
2012-07-01,Buenos Aires,Para Hoteles,3134,""
2012-07-01,CABA,1 y 2 estrellas,1039,""
2012-07-01,CABA,3 estrellas/boutiques/aparts,3974,""
2012-07-01,CABA,4 y 5 estrellas,8798,""
2012-07-01,CABA,Para Hoteles,1747,""
2012-07-01,Cuyo,1 y 2 estrellas,1290,""
2012-07-01,Cuyo,3 estrellas/boutiques/aparts,2042,""
2012-07-01,Cuyo,4 y 5 estrellas,2983,""
2012-07-01,Cuyo,Para Hoteles,1164,""
2012-07-01,Córdoba,1 y 2 estrellas,1493,""
2012-07-01,Córdoba,3 estrellas/boutiques/aparts,1793,""
2012-07-01,Córdoba,4 y 5 estrellas,900,""
2012-07-01,Córdoba,Para Hoteles,2149,""
2012-07-01,Litoral,1 y 2 estrellas,867,""
2012-07-01,Litoral,3 estrellas/boutiques/aparts,2108,""
2012-07-01,Litoral,4 y 5 estrellas,3252,""
2012-07-01,Litoral,Para Hoteles,1897,""
2012-07-01,Norte,1 y 2 estrellas,1467,""
2012-07-01,Norte,3 estrellas/boutiques/aparts,2262,""
2012-07-01,Norte,4 y 5 estrellas,1771,""
2012-07-01,Norte,Para Hoteles,1938,""
2012-07-01,Patagonia,1 y 2 estrellas,2120,""
2012-07-01,Patagonia,3 estrellas/boutiques/aparts,2896,""
2012-07-01,Patagonia,4 y 5 estrellas,2902,""
2012-07-01,Patagonia,Para Hoteles,2689,""
2012-08-01,Buenos Aires,1 y 2 estrellas,1207,""
2012-08-01,Buenos Aires,3 estrellas/boutiques/aparts,2090,""
2012-08-01,Buenos Aires,4 y 5 estrellas,1489,""
2012-08-01,Buenos Aires,Para Hoteles,3624,""
2012-08-01,CABA,1 y 2 estrellas,1030,""
2012-08-01,CABA,3 estrellas/boutiques/aparts,3983,""
2012-08-01,CABA,4 y 5 estrellas,8896,""
2012-08-01,CABA,Para Hoteles,1767,""
2012-08-01,Cuyo,1 y 2 estrellas,1297,""
2012-08-01,Cuyo,3 estrellas/boutiques/aparts,2139,""
2012-08-01,Cuyo,4 y 5 estrellas,2991,""
2012-08-01,Cuyo,Para Hoteles,1156,""
2012-08-01,Córdoba,1 y 2 estrellas,1368,""
2012-08-01,Córdoba,3 estrellas/boutiques/aparts,1691,""
2012-08-01,Córdoba,4 y 5 estrellas,882,""
2012-08-01,Córdoba,Para Hoteles,2057,""
2012-08-01,Litoral,1 y 2 estrellas,930,""
2012-08-01,Litoral,3 estrellas/boutiques/aparts,2136,""
2012-08-01,Litoral,4 y 5 estrellas,3484,""
2012-08-01,Litoral,Para Hoteles,1655,""
2012-08-01,Norte,1 y 2 estrellas,1412,""
2012-08-01,Norte,3 estrellas/boutiques/aparts,2237,""
2012-08-01,Norte,4 y 5 estrellas,1625,""
2012-08-01,Norte,Para Hoteles,1922,""
2012-08-01,Patagonia,1 y 2 estrellas,2168,""
2012-08-01,Patagonia,3 estrellas/boutiques/aparts,2815,""
2012-08-01,Patagonia,4 y 5 estrellas,2920,""
2012-08-01,Patagonia,Para Hoteles,2760,""
2012-09-01,Buenos Aires,1 y 2 estrellas,1270,""
2012-09-01,Buenos Aires,3 estrellas/boutiques/aparts,2138,""
2012-09-01,Buenos Aires,4 y 5 estrellas,1600,""
2012-09-01,Buenos Aires,Para Hoteles,3067,""
2012-09-01,CABA,1 y 2 estrellas,1035,""
2012-09-01,CABA,3 estrellas/boutiques/aparts,4049,""
2012-09-01,CABA,4 y 5 estrellas,8832,""
2012-09-01,CABA,Para Hoteles,1715,""
2012-09-01,Cuyo,1 y 2 estrellas,1342,""
2012-09-01,Cuyo,3 estrellas/boutiques/aparts,2163,""
2012-09-01,Cuyo,4 y 5 estrellas,2992,""
2012-09-01,Cuyo,Para Hoteles,1236,""
2012-09-01,Córdoba,1 y 2 estrellas,1419,""
2012-09-01,Córdoba,3 estrellas/boutiques/aparts,1654,""
2012-09-01,Córdoba,4 y 5 estrellas,895,""
2012-09-01,Córdoba,Para Hoteles,2098,""
2012-09-01,Litoral,1 y 2 estrellas,1032,""
2012-09-01,Litoral,3 estrellas/boutiques/aparts,2061,""
2012-09-01,Litoral,4 y 5 estrellas,3293,""
2012-09-01,Litoral,Para Hoteles,1630,""
2012-09-01,Norte,1 y 2 estrellas,1321,""
2012-09-01,Norte,3 estrellas/boutiques/aparts,2250,""
2012-09-01,Norte,4 y 5 estrellas,1698,""
2012-09-01,Norte,Para Hoteles,1909,""
2012-09-01,Patagonia,1 y 2 estrellas,2131,""
2012-09-01,Patagonia,3 estrellas/boutiques/aparts,2769,""
2012-09-01,Patagonia,4 y 5 estrellas,3075,""
2012-09-01,Patagonia,Para Hoteles,2797,""
2012-10-01,Buenos Aires,1 y 2 estrellas,1456,""
2012-10-01,Buenos Aires,3 estrellas/boutiques/aparts,2175,""
2012-10-01,Buenos Aires,4 y 5 estrellas,1714,""
2012-10-01,Buenos Aires,Para Hoteles,3457,""
2012-10-01,CABA,1 y 2 estrellas,1039,""
2012-10-01,CABA,3 estrellas/boutiques/aparts,3992,""
2012-10-01,CABA,4 y 5 estrellas,8950,""
2012-10-01,CABA,Para Hoteles,1683,""
2012-10-01,Cuyo,1 y 2 estrellas,1378,""
2012-10-01,Cuyo,3 estrellas/boutiques/aparts,2164,""
2012-10-01,Cuyo,4 y 5 estrellas,2657,""
2012-10-01,Cuyo,Para Hoteles,1198,""
2012-10-01,Córdoba,1 y 2 estrellas,1446,""
2012-10-01,Córdoba,3 estrellas/boutiques/aparts,1680,""
2012-10-01,Córdoba,4 y 5 estrellas,886,""
2012-10-01,Córdoba,Para Hoteles,2085,""
2012-10-01,Litoral,1 y 2 estrellas,952,""
2012-10-01,Litoral,3 estrellas/boutiques/aparts,2132,""
2012-10-01,Litoral,4 y 5 estrellas,3504,""
2012-10-01,Litoral,Para Hoteles,1730,""
2012-10-01,Norte,1 y 2 estrellas,1097,""
2012-10-01,Norte,3 estrellas/boutiques/aparts,2135,""
2012-10-01,Norte,4 y 5 estrellas,1829,""
2012-10-01,Norte,Para Hoteles,1825,""
2012-10-01,Patagonia,1 y 2 estrellas,2124,""
2012-10-01,Patagonia,3 estrellas/boutiques/aparts,2924,""
2012-10-01,Patagonia,4 y 5 estrellas,3097,""
2012-10-01,Patagonia,Para Hoteles,2829,""
2012-11-01,Buenos Aires,1 y 2 estrellas,1590,""
2012-11-01,Buenos Aires,3 estrellas/boutiques/aparts,2408,""
2012-11-01,Buenos Aires,4 y 5 estrellas,1831,""
2012-11-01,Buenos Aires,Para Hoteles,3912,""
2012-11-01,CABA,1 y 2 estrellas,1053,""
2012-11-01,CABA,3 estrellas/boutiques/aparts,3999,""
2012-11-01,CABA,4 y 5 estrellas,9191,""
2012-11-01,CABA,Para Hoteles,1673,""
2012-11-01,Cuyo,1 y 2 estrellas,1345,""
2012-11-01,Cuyo,3 estrellas/boutiques/aparts,2345,""
2012-11-01,Cuyo,4 y 5 estrellas,2771,""
2012-11-01,Cuyo,Para Hoteles,1230,""
2012-11-01,Córdoba,1 y 2 estrellas,1518,""
2012-11-01,Córdoba,3 estrellas/boutiques/aparts,1722,""
2012-11-01,Córdoba,4 y 5 estrellas,868,""
2012-11-01,Córdoba,Para Hoteles,2300,""
2012-11-01,Litoral,1 y 2 estrellas,994,""
2012-11-01,Litoral,3 estrellas/boutiques/aparts,2171,""
2012-11-01,Litoral,4 y 5 estrellas,3595,""
2012-11-01,Litoral,Para Hoteles,1858,""
2012-11-01,Norte,1 y 2 estrellas,1047,""
2012-11-01,Norte,3 estrellas/boutiques/aparts,1935,""
2012-11-01,Norte,4 y 5 estrellas,1847,""
2012-11-01,Norte,Para Hoteles,1794,""
2012-11-01,Patagonia,1 y 2 estrellas,1698,""
2012-11-01,Patagonia,3 estrellas/boutiques/aparts,2976,""
2012-11-01,Patagonia,4 y 5 estrellas,3234,""
2012-11-01,Patagonia,Para Hoteles,3655,""
2012-12-01,Buenos Aires,1 y 2 estrellas,1956,""
2012-12-01,Buenos Aires,3 estrellas/boutiques/aparts,2847,""
2012-12-01,Buenos Aires,4 y 5 estrellas,1838,""
2012-12-01,Buenos Aires,Para Hoteles,4402,""
2012-12-01,CABA,1 y 2 estrellas,1061,""
2012-12-01,CABA,3 estrellas/boutiques/aparts,3942,""
2012-12-01,CABA,4 y 5 estrellas,9317,""
2012-12-01,CABA,Para Hoteles,1864,""
2012-12-01,Cuyo,1 y 2 estrellas,1385,""
2012-12-01,Cuyo,3 estrellas/boutiques/aparts,2230,""
2012-12-01,Cuyo,4 y 5 estrellas,2751,""
2012-12-01,Cuyo,Para Hoteles,1189,""
2012-12-01,Córdoba,1 y 2 estrellas,1536,""
2012-12-01,Córdoba,3 estrellas/boutiques/aparts,1583,""
2012-12-01,Córdoba,4 y 5 estrellas,895,""
2012-12-01,Córdoba,Para Hoteles,2308,""
2012-12-01,Litoral,1 y 2 estrellas,988,""
2012-12-01,Litoral,3 estrellas/boutiques/aparts,2087,""
2012-12-01,Litoral,4 y 5 estrellas,3431,""
2012-12-01,Litoral,Para Hoteles,1821,""
2012-12-01,Norte,1 y 2 estrellas,1006,""
2012-12-01,Norte,3 estrellas/boutiques/aparts,1848,""
2012-12-01,Norte,4 y 5 estrellas,1795,""
2012-12-01,Norte,Para Hoteles,1834,""
2012-12-01,Patagonia,1 y 2 estrellas,2298,""
2012-12-01,Patagonia,3 estrellas/boutiques/aparts,3032,""
2012-12-01,Patagonia,4 y 5 estrellas,3209,""
2012-12-01,Patagonia,Para Hoteles,3096,""
