indice_tiempo,region_de_destino,categoria_del_hotel,puestos_de_trabajo,observaciones
2015-11-01,Cuyo,Para Hoteles,1104,""
2015-11-01,Córdoba,1 y 2 estrellas,1218,""
2015-11-01,Córdoba,3 estrellas/boutiques/aparts,1386,""
2015-11-01,Córdoba,4 y 5 estrellas,996,""
2015-11-01,Córdoba,Para Hoteles,2028,""
2015-11-01,Litoral,1 y 2 estrellas,975,""
2015-11-01,Litoral,3 estrellas/boutiques/aparts,1880,""
2015-11-01,Litoral,4 y 5 estrellas,3850,""
2015-11-01,Litoral,Para Hoteles,1405,""
2015-11-01,Norte,1 y 2 estrellas,884,""
2015-11-01,Norte,3 estrellas/boutiques/aparts,1778,""
2015-11-01,Norte,4 y 5 estrellas,2408,""
2015-11-01,Norte,Para Hoteles,1615,""
2015-11-01,Patagonia,1 y 2 estrellas,1562,""
2015-11-01,Patagonia,3 estrellas/boutiques/aparts,2872,""
2015-11-01,Patagonia,4 y 5 estrellas,3869,""
2015-11-01,Patagonia,Para Hoteles,2363,""
2015-12-01,Buenos Aires,1 y 2 estrellas,1279,""
2015-12-01,Buenos Aires,3 estrellas/boutiques/aparts,2791,""
2015-12-01,Buenos Aires,4 y 5 estrellas,1922,""
2015-12-01,Buenos Aires,Para Hoteles,2834,""
2015-12-01,CABA,1 y 2 estrellas,968,""
2015-12-01,CABA,3 estrellas/boutiques/aparts,3718,""
2015-12-01,CABA,4 y 5 estrellas,9104,""
2015-12-01,CABA,Para Hoteles,1741,""
2015-12-01,Cuyo,1 y 2 estrellas,1177,""
2015-12-01,Cuyo,3 estrellas/boutiques/aparts,2217,""
2015-12-01,Cuyo,4 y 5 estrellas,2837,""
2015-12-01,Cuyo,Para Hoteles,1141,""
2015-12-01,Córdoba,1 y 2 estrellas,1337,""
2015-12-01,Córdoba,3 estrellas/boutiques/aparts,1416,""
2015-12-01,Córdoba,4 y 5 estrellas,1007,""
2015-12-01,Córdoba,Para Hoteles,2103,""
2015-12-01,Litoral,1 y 2 estrellas,946,""
2015-12-01,Litoral,3 estrellas/boutiques/aparts,1941,""
2015-12-01,Litoral,4 y 5 estrellas,3941,""
2015-12-01,Litoral,Para Hoteles,1376,""
2015-12-01,Norte,1 y 2 estrellas,914,""
2015-12-01,Norte,3 estrellas/boutiques/aparts,1680,""
2015-12-01,Norte,4 y 5 estrellas,2336,""
2015-12-01,Norte,Para Hoteles,1657,""
2015-12-01,Patagonia,1 y 2 estrellas,1884,""
2015-12-01,Patagonia,3 estrellas/boutiques/aparts,3064,""
2015-12-01,Patagonia,4 y 5 estrellas,3903,""
2015-12-01,Patagonia,Para Hoteles,2542,""
2016-01-01,Buenos Aires,1 y 2 estrellas,2324,""
2016-01-01,Buenos Aires,3 estrellas/boutiques/aparts,3718,""
2016-01-01,Buenos Aires,4 y 5 estrellas,2287,""
2016-01-01,Buenos Aires,Para Hoteles,4154,""
2016-01-01,CABA,1 y 2 estrellas,977,""
2016-01-01,CABA,3 estrellas/boutiques/aparts,3675,""
2016-01-01,CABA,4 y 5 estrellas,8639,""
2016-01-01,CABA,Para Hoteles,1563,""
2016-01-01,Cuyo,1 y 2 estrellas,1227,""
2016-01-01,Cuyo,3 estrellas/boutiques/aparts,2178,""
2016-01-01,Cuyo,4 y 5 estrellas,2901,""
2016-01-01,Cuyo,Para Hoteles,1174,""
2016-01-01,Córdoba,1 y 2 estrellas,1796,""
2016-01-01,Córdoba,3 estrellas/boutiques/aparts,1585,""
2016-01-01,Córdoba,4 y 5 estrellas,1005,""
2016-01-01,Córdoba,Para Hoteles,2567,""
2016-01-01,Litoral,1 y 2 estrellas,980,""
2016-01-01,Litoral,3 estrellas/boutiques/aparts,1981,""
2016-01-01,Litoral,4 y 5 estrellas,3820,""
2016-01-01,Litoral,Para Hoteles,1548,""
2016-01-01,Norte,1 y 2 estrellas,946,""
2016-01-01,Norte,3 estrellas/boutiques/aparts,1774,""
2016-01-01,Norte,4 y 5 estrellas,2319,""
2016-01-01,Norte,Para Hoteles,2732,""
2016-01-01,Patagonia,1 y 2 estrellas,1865,""
2016-01-01,Patagonia,3 estrellas/boutiques/aparts,3146,""
2016-01-01,Patagonia,4 y 5 estrellas,4350,""
2016-01-01,Patagonia,Para Hoteles,3291,""
2016-02-01,Buenos Aires,1 y 2 estrellas,2264,""
2016-02-01,Buenos Aires,3 estrellas/boutiques/aparts,3437,""
2016-02-01,Buenos Aires,4 y 5 estrellas,2062,""
2016-02-01,Buenos Aires,Para Hoteles,3823,""
2016-02-01,CABA,1 y 2 estrellas,968,""
2016-02-01,CABA,3 estrellas/boutiques/aparts,3676,""
2016-02-01,CABA,4 y 5 estrellas,8742,""
2016-02-01,CABA,Para Hoteles,1606,""
2016-02-01,Cuyo,1 y 2 estrellas,1155,""
2016-02-01,Cuyo,3 estrellas/boutiques/aparts,2040,""
2016-02-01,Cuyo,4 y 5 estrellas,2909,""
2016-02-01,Cuyo,Para Hoteles,1119,""
2016-02-01,Córdoba,1 y 2 estrellas,1775,""
2016-02-01,Córdoba,3 estrellas/boutiques/aparts,1623,""
2016-02-01,Córdoba,4 y 5 estrellas,1008,""
2016-02-01,Córdoba,Para Hoteles,2554,""
2016-02-01,Litoral,1 y 2 estrellas,952,""
2016-02-01,Litoral,3 estrellas/boutiques/aparts,2013,""
2016-02-01,Litoral,4 y 5 estrellas,3821,""
2016-02-01,Litoral,Para Hoteles,1813,""
2016-02-01,Norte,1 y 2 estrellas,932,""
2016-02-01,Norte,3 estrellas/boutiques/aparts,1793,""
2016-02-01,Norte,4 y 5 estrellas,2325,""
2016-02-01,Norte,Para Hoteles,1814,""
2016-02-01,Patagonia,1 y 2 estrellas,1805,""
2016-02-01,Patagonia,3 estrellas/boutiques/aparts,3142,""
2016-02-01,Patagonia,4 y 5 estrellas,4413,""
2016-02-01,Patagonia,Para Hoteles,3308,""
2016-03-01,Buenos Aires,1 y 2 estrellas,1503,""
2016-03-01,Buenos Aires,3 estrellas/boutiques/aparts,2808,""
2016-03-01,Buenos Aires,4 y 5 estrellas,1858,""
2016-03-01,Buenos Aires,Para Hoteles,3117,""
2016-03-01,CABA,1 y 2 estrellas,913,""
2016-03-01,CABA,3 estrellas/boutiques/aparts,3610,""
2016-03-01,CABA,4 y 5 estrellas,9090,""
2016-03-01,CABA,Para Hoteles,1627,""
2016-03-01,Cuyo,1 y 2 estrellas,1135,""
2016-03-01,Cuyo,3 estrellas/boutiques/aparts,2067,""
2016-03-01,Cuyo,4 y 5 estrellas,2772,""
2016-03-01,Cuyo,Para Hoteles,1133,""
2016-03-01,Córdoba,1 y 2 estrellas,1556,""
2016-03-01,Córdoba,3 estrellas/boutiques/aparts,1540,""
2016-03-01,Córdoba,4 y 5 estrellas,963,""
2016-03-01,Córdoba,Para Hoteles,2235,""
2016-03-01,Litoral,1 y 2 estrellas,953,""
2016-03-01,Litoral,3 estrellas/boutiques/aparts,2011,""
2016-03-01,Litoral,4 y 5 estrellas,3709,""
2016-03-01,Litoral,Para Hoteles,1692,""
2016-03-01,Norte,1 y 2 estrellas,1047,""
2016-03-01,Norte,3 estrellas/boutiques/aparts,2019,""
2016-03-01,Norte,4 y 5 estrellas,2299,""
2016-03-01,Norte,Para Hoteles,1844,""
2016-03-01,Patagonia,1 y 2 estrellas,1444,""
2016-03-01,Patagonia,3 estrellas/boutiques/aparts,2999,""
2016-03-01,Patagonia,4 y 5 estrellas,4167,""
2016-03-01,Patagonia,Para Hoteles,2735,""
2016-04-01,Buenos Aires,1 y 2 estrellas,642,""
2016-04-01,Buenos Aires,3 estrellas/boutiques/aparts,1841,""
2016-04-01,Buenos Aires,4 y 5 estrellas,1822,""
2016-04-01,Buenos Aires,Para Hoteles,1852,""
2016-04-01,CABA,1 y 2 estrellas,862,""
2016-04-01,CABA,3 estrellas/boutiques/aparts,3705,""
2016-04-01,CABA,4 y 5 estrellas,8942,""
2016-04-01,CABA,Para Hoteles,1635,""
2016-04-01,Cuyo,1 y 2 estrellas,1059,""
2016-04-01,Cuyo,3 estrellas/boutiques/aparts,2141,""
2016-04-01,Cuyo,4 y 5 estrellas,2738,""
2016-04-01,Cuyo,Para Hoteles,1123,""
2016-04-01,Córdoba,1 y 2 estrellas,1175,""
2016-04-01,Córdoba,3 estrellas/boutiques/aparts,1547,""
2016-04-01,Córdoba,4 y 5 estrellas,955,""
2016-04-01,Córdoba,Para Hoteles,2062,""
2016-04-01,Litoral,1 y 2 estrellas,959,""
2016-04-01,Litoral,3 estrellas/boutiques/aparts,2027,""
2016-04-01,Litoral,4 y 5 estrellas,3632,""
2016-04-01,Litoral,Para Hoteles,1517,""
2016-04-01,Norte,1 y 2 estrellas,1093,""
2016-04-01,Norte,3 estrellas/boutiques/aparts,1902,""
2016-04-01,Norte,4 y 5 estrellas,2270,""
2016-04-01,Norte,Para Hoteles,1843,""
2016-04-01,Patagonia,1 y 2 estrellas,1380,""
2016-04-01,Patagonia,3 estrellas/boutiques/aparts,2763,""
2016-04-01,Patagonia,4 y 5 estrellas,3761,""
2016-04-01,Patagonia,Para Hoteles,2295,""
2016-05-01,Buenos Aires,1 y 2 estrellas,600,""
2016-05-01,Buenos Aires,3 estrellas/boutiques/aparts,1758,""
2016-05-01,Buenos Aires,4 y 5 estrellas,1476,""
2016-05-01,Buenos Aires,Para Hoteles,1415,""
2016-05-01,CABA,1 y 2 estrellas,869,""
2016-05-01,CABA,3 estrellas/boutiques/aparts,3703,""
2016-05-01,CABA,4 y 5 estrellas,8796,""
2016-05-01,CABA,Para Hoteles,1623,""
2016-05-01,Cuyo,1 y 2 estrellas,1012,""
2016-05-01,Cuyo,3 estrellas/boutiques/aparts,2029,""
2016-05-01,Cuyo,4 y 5 estrellas,2744,""
2016-05-01,Cuyo,Para Hoteles,1054,""
2016-05-01,Córdoba,1 y 2 estrellas,1196,""
2016-05-01,Córdoba,3 estrellas/boutiques/aparts,1529,""
2016-05-01,Córdoba,4 y 5 estrellas,963,""
2016-05-01,Córdoba,Para Hoteles,1956,""
2016-05-01,Litoral,1 y 2 estrellas,943,""
2016-05-01,Litoral,3 estrellas/boutiques/aparts,1944,""
2016-05-01,Litoral,4 y 5 estrellas,3715,""
2016-05-01,Litoral,Para Hoteles,1515,""
2016-05-01,Norte,1 y 2 estrellas,1161,""
2016-05-01,Norte,3 estrellas/boutiques/aparts,1871,""
2016-05-01,Norte,4 y 5 estrellas,2345,""
2016-05-01,Norte,Para Hoteles,1759,""
2016-05-01,Patagonia,1 y 2 estrellas,1380,""
2016-05-01,Patagonia,3 estrellas/boutiques/aparts,2270,""
2016-05-01,Patagonia,4 y 5 estrellas,3499,""
2016-05-01,Patagonia,Para Hoteles,1696,""
2016-06-01,Buenos Aires,1 y 2 estrellas,622,""
2016-06-01,Buenos Aires,3 estrellas/boutiques/aparts,1839,""
2016-06-01,Buenos Aires,4 y 5 estrellas,1452,""
2016-06-01,Buenos Aires,Para Hoteles,1411,""
2016-06-01,CABA,1 y 2 estrellas,878,""
2016-06-01,CABA,3 estrellas/boutiques/aparts,3659,""
2016-06-01,CABA,4 y 5 estrellas,8773,""
2016-06-01,CABA,Para Hoteles,1632,""
2016-06-01,Cuyo,1 y 2 estrellas,1032,""
2016-06-01,Cuyo,3 estrellas/boutiques/aparts,2046,""
2016-06-01,Cuyo,4 y 5 estrellas,2816,""
2016-06-01,Cuyo,Para Hoteles,1039,""
2016-06-01,Córdoba,1 y 2 estrellas,1304,""
2016-06-01,Córdoba,3 estrellas/boutiques/aparts,1512,""
2016-06-01,Córdoba,4 y 5 estrellas,950,""
2016-06-01,Córdoba,Para Hoteles,1894,""
2016-06-01,Litoral,1 y 2 estrellas,969,""
2016-06-01,Litoral,3 estrellas/boutiques/aparts,2011,""
2016-06-01,Litoral,4 y 5 estrellas,3636,""
2016-06-01,Litoral,Para Hoteles,1506,""
2016-06-01,Norte,1 y 2 estrellas,1227,""
2016-06-01,Norte,3 estrellas/boutiques/aparts,1864,""
2016-06-01,Norte,4 y 5 estrellas,2295,""
2016-06-01,Norte,Para Hoteles,1708,""
2016-06-01,Patagonia,1 y 2 estrellas,1326,""
2016-06-01,Patagonia,3 estrellas/boutiques/aparts,2488,""
2016-06-01,Patagonia,4 y 5 estrellas,3010,""
2016-06-01,Patagonia,Para Hoteles,1993,""
2016-07-01,Buenos Aires,1 y 2 estrellas,628,""
2016-07-01,Buenos Aires,3 estrellas/boutiques/aparts,1920,""
2016-07-01,Buenos Aires,4 y 5 estrellas,1497,""
2016-07-01,Buenos Aires,Para Hoteles,1542,""
2016-07-01,CABA,1 y 2 estrellas,881,""
2016-07-01,CABA,3 estrellas/boutiques/aparts,3646,""
2016-07-01,CABA,4 y 5 estrellas,8835,""
2016-07-01,CABA,Para Hoteles,1591,""
2016-07-01,Cuyo,1 y 2 estrellas,1193,""
2016-07-01,Cuyo,3 estrellas/boutiques/aparts,1712,""
2016-07-01,Cuyo,4 y 5 estrellas,2783,""
2016-07-01,Cuyo,Para Hoteles,1092,""
2016-07-01,Córdoba,1 y 2 estrellas,1382,""
2016-07-01,Córdoba,3 estrellas/boutiques/aparts,1544,""
2016-07-01,Córdoba,4 y 5 estrellas,954,""
2016-07-01,Córdoba,Para Hoteles,2079,""
2016-07-01,Litoral,1 y 2 estrellas,973,""
2016-07-01,Litoral,3 estrellas/boutiques/aparts,1987,""
2016-07-01,Litoral,4 y 5 estrellas,3476,""
2016-07-01,Litoral,Para Hoteles,1542,""
2016-07-01,Norte,1 y 2 estrellas,1305,""
2016-07-01,Norte,3 estrellas/boutiques/aparts,1976,""
2016-07-01,Norte,4 y 5 estrellas,2417,""
2016-07-01,Norte,Para Hoteles,1766,""
2016-07-01,Patagonia,1 y 2 estrellas,1814,""
2016-07-01,Patagonia,3 estrellas/boutiques/aparts,2835,""
2016-07-01,Patagonia,4 y 5 estrellas,3332,""
2016-07-01,Patagonia,Para Hoteles,2572,""
2016-08-01,Buenos Aires,1 y 2 estrellas,614,""
2016-08-01,Buenos Aires,3 estrellas/boutiques/aparts,2099,""
2016-08-01,Buenos Aires,4 y 5 estrellas,1558,""
2016-08-01,Buenos Aires,Para Hoteles,1705,""
2016-08-01,CABA,1 y 2 estrellas,877,""
2016-08-01,CABA,3 estrellas/boutiques/aparts,3582,""
2016-08-01,CABA,4 y 5 estrellas,8812,""
2016-08-01,CABA,Para Hoteles,1551,""
2016-08-01,Cuyo,1 y 2 estrellas,1128,""
2016-08-01,Cuyo,3 estrellas/boutiques/aparts,2148,""
2016-08-01,Cuyo,4 y 5 estrellas,2820,""
2016-08-01,Cuyo,Para Hoteles,1025,""
2016-08-01,Córdoba,1 y 2 estrellas,1295,""
2016-08-01,Córdoba,3 estrellas/boutiques/aparts,1521,""
2016-08-01,Córdoba,4 y 5 estrellas,953,""
2016-08-01,Córdoba,Para Hoteles,1963,""
2016-08-01,Litoral,1 y 2 estrellas,961,""
2016-08-01,Litoral,3 estrellas/boutiques/aparts,2057,""
2016-08-01,Litoral,4 y 5 estrellas,3571,""
2016-08-01,Litoral,Para Hoteles,1389,""
2016-08-01,Norte,1 y 2 estrellas,1245,""
2016-08-01,Norte,3 estrellas/boutiques/aparts,1977,""
2016-08-01,Norte,4 y 5 estrellas,2423,""
2016-08-01,Norte,Para Hoteles,1715,""
2016-08-01,Patagonia,1 y 2 estrellas,1926,""
2016-08-01,Patagonia,3 estrellas/boutiques/aparts,2871,""
2016-08-01,Patagonia,4 y 5 estrellas,3669,""
2016-08-01,Patagonia,Para Hoteles,2586,""
2016-09-01,Buenos Aires,1 y 2 estrellas,613,""
2016-09-01,Buenos Aires,3 estrellas/boutiques/aparts,1854,""
2016-09-01,Buenos Aires,4 y 5 estrellas,1554,""
2016-09-01,Buenos Aires,Para Hoteles,1576,""
2016-09-01,CABA,1 y 2 estrellas,913,""
2016-09-01,CABA,3 estrellas/boutiques/aparts,3533,""
2016-09-01,CABA,4 y 5 estrellas,9062,""
2016-09-01,CABA,Para Hoteles,1554,""
2016-09-01,Cuyo,1 y 2 estrellas,1089,""
2016-09-01,Cuyo,3 estrellas/boutiques/aparts,2103,""
2016-09-01,Cuyo,4 y 5 estrellas,2925,""
2016-09-01,Cuyo,Para Hoteles,1061,""
2016-09-01,Córdoba,1 y 2 estrellas,1332,""
2016-09-01,Córdoba,3 estrellas/boutiques/aparts,1543,""
2016-09-01,Córdoba,4 y 5 estrellas,954,""
2016-09-01,Córdoba,Para Hoteles,2054,""
2016-09-01,Litoral,1 y 2 estrellas,934,""
2016-09-01,Litoral,3 estrellas/boutiques/aparts,2030,""
2016-09-01,Litoral,4 y 5 estrellas,3661,""
2016-09-01,Litoral,Para Hoteles,1447,""
2016-09-01,Norte,1 y 2 estrellas,1120,""
2016-09-01,Norte,3 estrellas/boutiques/aparts,1948,""
2016-09-01,Norte,4 y 5 estrellas,2416,""
2016-09-01,Norte,Para Hoteles,1689,""
2016-09-01,Patagonia,1 y 2 estrellas,1927,""
2016-09-01,Patagonia,3 estrellas/boutiques/aparts,3044,""
2016-09-01,Patagonia,4 y 5 estrellas,4016,""
2016-09-01,Patagonia,Para Hoteles,2437,""
2016-10-01,Buenos Aires,1 y 2 estrellas,786,""
2016-10-01,Buenos Aires,3 estrellas/boutiques/aparts,2161,""
2016-10-01,Buenos Aires,4 y 5 estrellas,1928,""
2016-10-01,Buenos Aires,Para Hoteles,2067,""
2016-10-01,CABA,1 y 2 estrellas,881,""
2016-10-01,CABA,3 estrellas/boutiques/aparts,3585,""
2016-10-01,CABA,4 y 5 estrellas,9151,""
2016-10-01,CABA,Para Hoteles,1527,""
2016-10-01,Cuyo,1 y 2 estrellas,1074,""
2016-10-01,Cuyo,3 estrellas/boutiques/aparts,2206,""
2016-10-01,Cuyo,4 y 5 estrellas,2801,""
2016-10-01,Cuyo,Para Hoteles,1078,""
2016-10-01,Córdoba,1 y 2 estrellas,1465,""
2016-10-01,Córdoba,3 estrellas/boutiques/aparts,1512,""
2016-10-01,Córdoba,4 y 5 estrellas,962,""
2016-10-01,Córdoba,Para Hoteles,2144,""
2016-10-01,Litoral,1 y 2 estrellas,910,""
2016-10-01,Litoral,3 estrellas/boutiques/aparts,2021,""
2016-10-01,Litoral,4 y 5 estrellas,3684,""
2016-10-01,Litoral,Para Hoteles,1443,""
2016-10-01,Norte,1 y 2 estrellas,1086,""
2016-10-01,Norte,3 estrellas/boutiques/aparts,1877,""
2016-10-01,Norte,4 y 5 estrellas,2299,""
2016-10-01,Norte,Para Hoteles,1631,""
2016-10-01,Patagonia,1 y 2 estrellas,1899,""
2016-10-01,Patagonia,3 estrellas/boutiques/aparts,2893,""
2016-10-01,Patagonia,4 y 5 estrellas,4030,""
2016-10-01,Patagonia,Para Hoteles,2578,""
2016-11-01,Buenos Aires,1 y 2 estrellas,823,""
2016-11-01,Buenos Aires,3 estrellas/boutiques/aparts,2245,""
2016-11-01,Buenos Aires,4 y 5 estrellas,1899,""
2016-11-01,Buenos Aires,Para Hoteles,2727,""
2016-11-01,CABA,1 y 2 estrellas,935,""
2016-11-01,CABA,3 estrellas/boutiques/aparts,3624,""
2016-11-01,CABA,4 y 5 estrellas,9163,""
2016-11-01,CABA,Para Hoteles,1531,""
2016-11-01,Cuyo,1 y 2 estrellas,1094,""
2016-11-01,Cuyo,3 estrellas/boutiques/aparts,2135,""
2016-11-01,Cuyo,4 y 5 estrellas,4195,""
2016-11-01,Cuyo,Para Hoteles,1042,""
2016-11-01,Córdoba,1 y 2 estrellas,1468,""
2016-11-01,Córdoba,3 estrellas/boutiques/aparts,1538,""
2016-11-01,Córdoba,4 y 5 estrellas,959,""
2016-11-01,Córdoba,Para Hoteles,2115,""
2016-11-01,Litoral,1 y 2 estrellas,899,""
2016-11-01,Litoral,3 estrellas/boutiques/aparts,2035,""
2016-11-01,Litoral,4 y 5 estrellas,3961,""
2016-11-01,Litoral,Para Hoteles,1418,""
2016-11-01,Norte,1 y 2 estrellas,895,""
2016-11-01,Norte,3 estrellas/boutiques/aparts,1822,""
2016-11-01,Norte,4 y 5 estrellas,2282,""
2016-11-01,Norte,Para Hoteles,1675,""
2016-11-01,Patagonia,1 y 2 estrellas,1625,""
2016-11-01,Patagonia,3 estrellas/boutiques/aparts,3134,""
2016-11-01,Patagonia,4 y 5 estrellas,4212,""
2016-11-01,Patagonia,Para Hoteles,2502,""
2016-12-01,Buenos Aires,1 y 2 estrellas,1327,""
2016-12-01,Buenos Aires,3 estrellas/boutiques/aparts,2899,""
2016-12-01,Buenos Aires,4 y 5 estrellas,2103,""
2016-12-01,Buenos Aires,Para Hoteles,2940,""
2016-12-01,CABA,1 y 2 estrellas,893,""
2016-12-01,CABA,3 estrellas/boutiques/aparts,3614,""
2016-12-01,CABA,4 y 5 estrellas,9319,""
2016-12-01,CABA,Para Hoteles,1469,""
2016-12-01,Cuyo,1 y 2 estrellas,896,""
2016-12-01,Cuyo,3 estrellas/boutiques/aparts,2297,""
2016-12-01,Cuyo,4 y 5 estrellas,2866,""
2016-12-01,Cuyo,Para Hoteles,1029,""
2016-12-01,Córdoba,1 y 2 estrellas,1460,""
2016-12-01,Córdoba,3 estrellas/boutiques/aparts,1520,""
2016-12-01,Córdoba,4 y 5 estrellas,980,""
2016-12-01,Córdoba,Para Hoteles,2167,""
2016-12-01,Litoral,1 y 2 estrellas,920,""
2016-12-01,Litoral,3 estrellas/boutiques/aparts,1986,""
2016-12-01,Litoral,4 y 5 estrellas,3774,""
2016-12-01,Litoral,Para Hoteles,1542,""
2016-12-01,Norte,1 y 2 estrellas,859,""
2016-12-01,Norte,3 estrellas/boutiques/aparts,1745,""
2016-12-01,Norte,4 y 5 estrellas,2196,""
2016-12-01,Norte,Para Hoteles,1678,""
2016-12-01,Patagonia,1 y 2 estrellas,2151,""
2016-12-01,Patagonia,3 estrellas/boutiques/aparts,3045,""
2016-12-01,Patagonia,4 y 5 estrellas,4279,""
2016-12-01,Patagonia,Para Hoteles,2678,""
2017-01-01,Buenos Aires,1 y 2 estrellas,2116,""
2017-01-01,Buenos Aires,3 estrellas/boutiques/aparts,3214,""
2017-01-01,Buenos Aires,4 y 5 estrellas,2314,""
2017-01-01,Buenos Aires,Para Hoteles,4228,""
2017-01-01,CABA,1 y 2 estrellas,888,""
2017-01-01,CABA,3 estrellas/boutiques/aparts,3550,""
2017-01-01,CABA,4 y 5 estrellas,8782,""
2017-01-01,CABA,Para Hoteles,1555,""
2017-01-01,Cuyo,1 y 2 estrellas,1061,""
2017-01-01,Cuyo,3 estrellas/boutiques/aparts,2597,""
2017-01-01,Cuyo,4 y 5 estrellas,2917,""
2017-01-01,Cuyo,Para Hoteles,1122,""
2017-01-01,Córdoba,1 y 2 estrellas,1850,""
2017-01-01,Córdoba,3 estrellas/boutiques/aparts,1559,""
2017-01-01,Córdoba,4 y 5 estrellas,998,""
2017-01-01,Córdoba,Para Hoteles,2536,""
2017-01-01,Litoral,1 y 2 estrellas,878,""
2017-01-01,Litoral,3 estrellas/boutiques/aparts,2010,""
2017-01-01,Litoral,4 y 5 estrellas,3849,""
2017-01-01,Litoral,Para Hoteles,1922,""
2017-01-01,Norte,1 y 2 estrellas,961,""
2017-01-01,Norte,3 estrellas/boutiques/aparts,1645,""
2017-01-01,Norte,4 y 5 estrellas,2251,""
2017-01-01,Norte,Para Hoteles,1802,""
2017-01-01,Patagonia,1 y 2 estrellas,2244,""
2017-01-01,Patagonia,3 estrellas/boutiques/aparts,3278,""
2017-01-01,Patagonia,4 y 5 estrellas,4272,""
2017-01-01,Patagonia,Para Hoteles,3351,""
2017-02-01,Buenos Aires,1 y 2 estrellas,2054,""
2017-02-01,Buenos Aires,3 estrellas/boutiques/aparts,3189,""
2017-02-01,Buenos Aires,4 y 5 estrellas,2216,""
2017-02-01,Buenos Aires,Para Hoteles,4212,""
2017-02-01,CABA,1 y 2 estrellas,888,""
2017-02-01,CABA,3 estrellas/boutiques/aparts,3559,""
2017-02-01,CABA,4 y 5 estrellas,8537,""
2017-02-01,CABA,Para Hoteles,1556,""
2017-02-01,Cuyo,1 y 2 estrellas,1063,""
2017-02-01,Cuyo,3 estrellas/boutiques/aparts,2528,""
2017-02-01,Cuyo,4 y 5 estrellas,2998,""
2017-02-01,Cuyo,Para Hoteles,1109,""
2017-02-01,Córdoba,1 y 2 estrellas,1848,""
2017-02-01,Córdoba,3 estrellas/boutiques/aparts,1553,""
2017-02-01,Córdoba,4 y 5 estrellas,983,""
2017-02-01,Córdoba,Para Hoteles,2497,""
2017-02-01,Litoral,1 y 2 estrellas,886,""
2017-02-01,Litoral,3 estrellas/boutiques/aparts,2005,""
2017-02-01,Litoral,4 y 5 estrellas,3848,""
2017-02-01,Litoral,Para Hoteles,1832,""
2017-02-01,Norte,1 y 2 estrellas,985,""
2017-02-01,Norte,3 estrellas/boutiques/aparts,1646,""
2017-02-01,Norte,4 y 5 estrellas,2412,""
2017-02-01,Norte,Para Hoteles,1773,""
2017-02-01,Patagonia,1 y 2 estrellas,1995,""
2017-02-01,Patagonia,3 estrellas/boutiques/aparts,3208,""
2017-02-01,Patagonia,4 y 5 estrellas,4236,""
2017-02-01,Patagonia,Para Hoteles,3438,""
2017-03-01,Buenos Aires,1 y 2 estrellas,1134,""
2017-03-01,Buenos Aires,3 estrellas/boutiques/aparts,2376,""
2017-03-01,Buenos Aires,4 y 5 estrellas,1965,""
2017-03-01,Buenos Aires,Para Hoteles,3286,""
2017-03-01,CABA,1 y 2 estrellas,913,""
2017-03-01,CABA,3 estrellas/boutiques/aparts,3496,""
2017-03-01,CABA,4 y 5 estrellas,8736,""
2017-03-01,CABA,Para Hoteles,1484,""
2017-03-01,Cuyo,1 y 2 estrellas,1011,""
2017-03-01,Cuyo,3 estrellas/boutiques/aparts,2460,""
2017-03-01,Cuyo,4 y 5 estrellas,2853,""
2017-03-01,Cuyo,Para Hoteles,1009,""
2017-03-01,Córdoba,1 y 2 estrellas,1525,""
2017-03-01,Córdoba,3 estrellas/boutiques/aparts,1423,""
2017-03-01,Córdoba,4 y 5 estrellas,967,""
2017-03-01,Córdoba,Para Hoteles,2204,""
2017-03-01,Litoral,1 y 2 estrellas,857,""
2017-03-01,Litoral,3 estrellas/boutiques/aparts,2070,""
2017-03-01,Litoral,4 y 5 estrellas,3864,""
2017-03-01,Litoral,Para Hoteles,1667,""
2017-03-01,Norte,1 y 2 estrellas,990,""
2017-03-01,Norte,3 estrellas/boutiques/aparts,1618,""
2017-03-01,Norte,4 y 5 estrellas,2284,""
2017-03-01,Norte,Para Hoteles,1795,""
2017-03-01,Patagonia,1 y 2 estrellas,1850,""
2017-03-01,Patagonia,3 estrellas/boutiques/aparts,3123,""
2017-03-01,Patagonia,4 y 5 estrellas,3969,""
2017-03-01,Patagonia,Para Hoteles,2899,""
2017-04-01,Buenos Aires,1 y 2 estrellas,770,""
2017-04-01,Buenos Aires,3 estrellas/boutiques/aparts,2028,""
2017-04-01,Buenos Aires,4 y 5 estrellas,1873,""
2017-04-01,Buenos Aires,Para Hoteles,2566,""
2017-04-01,CABA,1 y 2 estrellas,872,""
2017-04-01,CABA,3 estrellas/boutiques/aparts,3525,""
2017-04-01,CABA,4 y 5 estrellas,8629,""
2017-04-01,CABA,Para Hoteles,1580,""
2017-04-01,Cuyo,1 y 2 estrellas,1000,""
2017-04-01,Cuyo,3 estrellas/boutiques/aparts,2398,""
2017-04-01,Cuyo,4 y 5 estrellas,2931,""
2017-04-01,Cuyo,Para Hoteles,969,""
2017-04-01,Córdoba,1 y 2 estrellas,1415,""
2017-04-01,Córdoba,3 estrellas/boutiques/aparts,1439,""
2017-04-01,Córdoba,4 y 5 estrellas,963,""
2017-04-01,Córdoba,Para Hoteles,2088,""
2017-04-01,Litoral,1 y 2 estrellas,896,""
