indice_tiempo,region_de_destino,categoria_del_hotel,ingresos_por_habitacion_disponible_en_usd,observaciones
2013-07-01,Litoral,Para Hoteles,14.62,Calculado a valores de la cotización oficial de venta de la divisa.
2013-07-01,Litoral,Total,30.66,Calculado a valores de la cotización oficial de venta de la divisa.
2013-07-01,Norte,1 y 2 estrellas,24.69,Calculado a valores de la cotización oficial de venta de la divisa.
2013-07-01,Norte,3 estrellas/boutiques/aparts,44.45,Calculado a valores de la cotización oficial de venta de la divisa.
2013-07-01,Norte,4 y 5 estrellas,64.93,Calculado a valores de la cotización oficial de venta de la divisa.
2013-07-01,Norte,Para Hoteles,13.49,Calculado a valores de la cotización oficial de venta de la divisa.
2013-07-01,Norte,Total,33.12,Calculado a valores de la cotización oficial de venta de la divisa.
2013-07-01,Patagonia,1 y 2 estrellas,37.87,Calculado a valores de la cotización oficial de venta de la divisa.
2013-07-01,Patagonia,3 estrellas/boutiques/aparts,66.84,Calculado a valores de la cotización oficial de venta de la divisa.
2013-07-01,Patagonia,4 y 5 estrellas,115.61,Calculado a valores de la cotización oficial de venta de la divisa.
2013-07-01,Patagonia,Para Hoteles,27.05,Calculado a valores de la cotización oficial de venta de la divisa.
2013-07-01,Patagonia,Total,55.24,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Buenos Aires,1 y 2 estrellas,4.47,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Buenos Aires,3 estrellas/boutiques/aparts,12.84,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Buenos Aires,4 y 5 estrellas,22.09,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Buenos Aires,Para Hoteles,7.16,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Buenos Aires,Total,10.6,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,CABA,1 y 2 estrellas,20.73,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,CABA,3 estrellas/boutiques/aparts,39.14,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,CABA,4 y 5 estrellas,66.17,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,CABA,Para Hoteles,10.45,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,CABA,Total,41,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Cuyo,1 y 2 estrellas,12.31,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Cuyo,3 estrellas/boutiques/aparts,27.14,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Cuyo,4 y 5 estrellas,56.32,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Cuyo,Para Hoteles,3.9,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Cuyo,Total,24.68,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Córdoba,1 y 2 estrellas,8.24,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Córdoba,3 estrellas/boutiques/aparts,22.31,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Córdoba,4 y 5 estrellas,33.57,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Córdoba,Para Hoteles,11.33,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Córdoba,Total,15.8,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Litoral,1 y 2 estrellas,15.55,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Litoral,3 estrellas/boutiques/aparts,24.65,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Litoral,4 y 5 estrellas,49.89,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Litoral,Para Hoteles,10.09,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Litoral,Total,26.75,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Norte,1 y 2 estrellas,15.68,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Norte,3 estrellas/boutiques/aparts,32.87,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Norte,4 y 5 estrellas,53.11,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Norte,Para Hoteles,8.64,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Norte,Total,24.73,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Patagonia,1 y 2 estrellas,35.9,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Patagonia,3 estrellas/boutiques/aparts,49.17,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Patagonia,4 y 5 estrellas,74.38,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Patagonia,Para Hoteles,16.45,Calculado a valores de la cotización oficial de venta de la divisa.
2013-08-01,Patagonia,Total,39.34,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Buenos Aires,1 y 2 estrellas,5.59,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Buenos Aires,3 estrellas/boutiques/aparts,13.05,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Buenos Aires,4 y 5 estrellas,28.58,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Buenos Aires,Para Hoteles,7.73,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Buenos Aires,Total,12.11,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,CABA,1 y 2 estrellas,23.17,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,CABA,3 estrellas/boutiques/aparts,43.1,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,CABA,4 y 5 estrellas,82,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,CABA,Para Hoteles,11.66,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,CABA,Total,48.75,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Cuyo,1 y 2 estrellas,11.95,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Cuyo,3 estrellas/boutiques/aparts,27.22,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Cuyo,4 y 5 estrellas,54.26,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Cuyo,Para Hoteles,4.48,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Cuyo,Total,24.12,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Córdoba,1 y 2 estrellas,10.22,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Córdoba,3 estrellas/boutiques/aparts,21.97,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Córdoba,4 y 5 estrellas,38.7,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Córdoba,Para Hoteles,9.82,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Córdoba,Total,16.05,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Litoral,1 y 2 estrellas,18.55,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Litoral,3 estrellas/boutiques/aparts,26.66,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Litoral,4 y 5 estrellas,50.55,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Litoral,Para Hoteles,11.72,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Litoral,Total,28.64,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Norte,1 y 2 estrellas,15.2,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Norte,3 estrellas/boutiques/aparts,28.33,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Norte,4 y 5 estrellas,51.25,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Norte,Para Hoteles,8.72,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Norte,Total,23.19,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Patagonia,1 y 2 estrellas,34.11,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Patagonia,3 estrellas/boutiques/aparts,44.42,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Patagonia,4 y 5 estrellas,72.03,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Patagonia,Para Hoteles,15.32,Calculado a valores de la cotización oficial de venta de la divisa.
2013-09-01,Patagonia,Total,36.78,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Buenos Aires,1 y 2 estrellas,5.95,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Buenos Aires,3 estrellas/boutiques/aparts,16.76,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Buenos Aires,4 y 5 estrellas,34.37,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Buenos Aires,Para Hoteles,10.85,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Buenos Aires,Total,15.01,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,CABA,1 y 2 estrellas,23.92,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,CABA,3 estrellas/boutiques/aparts,45.41,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,CABA,4 y 5 estrellas,78.57,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,CABA,Para Hoteles,11.11,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,CABA,Total,48.1,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Cuyo,1 y 2 estrellas,13.45,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Cuyo,3 estrellas/boutiques/aparts,24.95,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Cuyo,4 y 5 estrellas,48.92,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Cuyo,Para Hoteles,5.06,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Cuyo,Total,22.67,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Córdoba,1 y 2 estrellas,10.12,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Córdoba,3 estrellas/boutiques/aparts,24.9,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Córdoba,4 y 5 estrellas,38.51,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Córdoba,Para Hoteles,17.96,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Córdoba,Total,19.24,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Litoral,1 y 2 estrellas,16.78,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Litoral,3 estrellas/boutiques/aparts,25.54,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Litoral,4 y 5 estrellas,53.92,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Litoral,Para Hoteles,11.8,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Litoral,Total,28.98,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Norte,1 y 2 estrellas,12.93,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Norte,3 estrellas/boutiques/aparts,26.98,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Norte,4 y 5 estrellas,47.8,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Norte,Para Hoteles,8.72,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Norte,Total,22.17,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Patagonia,1 y 2 estrellas,26.89,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Patagonia,3 estrellas/boutiques/aparts,38.81,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Patagonia,4 y 5 estrellas,58.18,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Patagonia,Para Hoteles,12.36,Calculado a valores de la cotización oficial de venta de la divisa.
2013-10-01,Patagonia,Total,30.1,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Buenos Aires,1 y 2 estrellas,7.67,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Buenos Aires,3 estrellas/boutiques/aparts,22.14,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Buenos Aires,4 y 5 estrellas,47.88,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Buenos Aires,Para Hoteles,18.44,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Buenos Aires,Total,21.44,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,CABA,1 y 2 estrellas,24.22,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,CABA,3 estrellas/boutiques/aparts,49.95,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,CABA,4 y 5 estrellas,92.88,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,CABA,Para Hoteles,12.21,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,CABA,Total,55.38,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Cuyo,1 y 2 estrellas,11.26,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Cuyo,3 estrellas/boutiques/aparts,25.11,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Cuyo,4 y 5 estrellas,43.82,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Cuyo,Para Hoteles,5.44,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Cuyo,Total,21.07,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Córdoba,1 y 2 estrellas,12.04,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Córdoba,3 estrellas/boutiques/aparts,25.46,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Córdoba,4 y 5 estrellas,37.39,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Córdoba,Para Hoteles,12.77,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Córdoba,Total,18.12,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Litoral,1 y 2 estrellas,14.56,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Litoral,3 estrellas/boutiques/aparts,24.37,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Litoral,4 y 5 estrellas,58.09,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Litoral,Para Hoteles,13.08,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Litoral,Total,29.91,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Norte,1 y 2 estrellas,13.31,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Norte,3 estrellas/boutiques/aparts,27.64,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Norte,4 y 5 estrellas,45.38,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Norte,Para Hoteles,8.06,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Norte,Total,22.09,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Patagonia,1 y 2 estrellas,29.12,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Patagonia,3 estrellas/boutiques/aparts,49.91,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Patagonia,4 y 5 estrellas,74.09,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Patagonia,Para Hoteles,17.88,Calculado a valores de la cotización oficial de venta de la divisa.
2013-11-01,Patagonia,Total,38.62,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Buenos Aires,1 y 2 estrellas,8.45,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Buenos Aires,3 estrellas/boutiques/aparts,25.61,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Buenos Aires,4 y 5 estrellas,44.24,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Buenos Aires,Para Hoteles,13.75,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Buenos Aires,Total,19.93,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,CABA,1 y 2 estrellas,20.01,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,CABA,3 estrellas/boutiques/aparts,39.91,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,CABA,4 y 5 estrellas,75.11,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,CABA,Para Hoteles,9.91,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,CABA,Total,44.7,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Cuyo,1 y 2 estrellas,7.94,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Cuyo,3 estrellas/boutiques/aparts,18.71,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Cuyo,4 y 5 estrellas,31.52,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Cuyo,Para Hoteles,3.75,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Cuyo,Total,15.33,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Córdoba,1 y 2 estrellas,11.85,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Córdoba,3 estrellas/boutiques/aparts,25.28,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Córdoba,4 y 5 estrellas,32.01,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Córdoba,Para Hoteles,17.08,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Córdoba,Total,18.81,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Litoral,1 y 2 estrellas,11.28,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Litoral,3 estrellas/boutiques/aparts,19.31,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Litoral,4 y 5 estrellas,47.75,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Litoral,Para Hoteles,11.39,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Litoral,Total,24.57,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Norte,1 y 2 estrellas,11.22,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Norte,3 estrellas/boutiques/aparts,21.27,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Norte,4 y 5 estrellas,28.19,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Norte,Para Hoteles,6.12,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Norte,Total,15.81,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Patagonia,1 y 2 estrellas,28.52,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Patagonia,3 estrellas/boutiques/aparts,43.32,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Patagonia,4 y 5 estrellas,69.75,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Patagonia,Para Hoteles,18.48,Calculado a valores de la cotización oficial de venta de la divisa.
2013-12-01,Patagonia,Total,36.03,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Buenos Aires,1 y 2 estrellas,26.56,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Buenos Aires,3 estrellas/boutiques/aparts,75.15,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Buenos Aires,4 y 5 estrellas,88.8,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Buenos Aires,Para Hoteles,48.39,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Buenos Aires,Total,52.22,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,CABA,1 y 2 estrellas,16.4,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,CABA,3 estrellas/boutiques/aparts,31.43,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,CABA,4 y 5 estrellas,59.69,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,CABA,Para Hoteles,8.54,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,CABA,Total,35.7,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Cuyo,1 y 2 estrellas,11.27,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Cuyo,3 estrellas/boutiques/aparts,30.18,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Cuyo,4 y 5 estrellas,44.24,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Cuyo,Para Hoteles,13.41,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Cuyo,Total,24.32,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Córdoba,1 y 2 estrellas,24.28,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Córdoba,3 estrellas/boutiques/aparts,44.25,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Córdoba,4 y 5 estrellas,40.41,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Córdoba,Para Hoteles,51.49,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Córdoba,Total,39.94,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Litoral,1 y 2 estrellas,15.55,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Litoral,3 estrellas/boutiques/aparts,23.28,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Litoral,4 y 5 estrellas,46.72,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Litoral,Para Hoteles,21.23,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Litoral,Total,28.16,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Norte,1 y 2 estrellas,11.5,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Norte,3 estrellas/boutiques/aparts,25.9,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Norte,4 y 5 estrellas,29.38,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Norte,Para Hoteles,10.9,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Norte,Total,18.82,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Patagonia,1 y 2 estrellas,30.66,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Patagonia,3 estrellas/boutiques/aparts,62.69,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Patagonia,4 y 5 estrellas,96.91,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Patagonia,Para Hoteles,39.41,Calculado a valores de la cotización oficial de venta de la divisa.
2014-01-01,Patagonia,Total,54.43,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Buenos Aires,1 y 2 estrellas,18.83,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Buenos Aires,3 estrellas/boutiques/aparts,56.9,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Buenos Aires,4 y 5 estrellas,67.31,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Buenos Aires,Para Hoteles,32.29,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Buenos Aires,Total,37.76,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,CABA,1 y 2 estrellas,15.06,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,CABA,3 estrellas/boutiques/aparts,32.13,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,CABA,4 y 5 estrellas,64.1,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,CABA,Para Hoteles,8.12,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,CABA,Total,37.32,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Cuyo,1 y 2 estrellas,10.49,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Cuyo,3 estrellas/boutiques/aparts,27.82,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Cuyo,4 y 5 estrellas,42.81,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Cuyo,Para Hoteles,10.2,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Cuyo,Total,22.33,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Córdoba,1 y 2 estrellas,20.42,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Córdoba,3 estrellas/boutiques/aparts,33.27,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Córdoba,4 y 5 estrellas,33.63,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Córdoba,Para Hoteles,34.11,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Córdoba,Total,29.4,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Litoral,1 y 2 estrellas,17.62,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Litoral,3 estrellas/boutiques/aparts,22.02,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Litoral,4 y 5 estrellas,45.22,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Litoral,Para Hoteles,21.19,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Litoral,Total,27.74,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Norte,1 y 2 estrellas,10.64,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Norte,3 estrellas/boutiques/aparts,22.69,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Norte,4 y 5 estrellas,27.61,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Norte,Para Hoteles,9.15,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Norte,Total,16.84,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Patagonia,1 y 2 estrellas,26.45,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Patagonia,3 estrellas/boutiques/aparts,54.15,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Patagonia,4 y 5 estrellas,80.13,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Patagonia,Para Hoteles,31.9,Calculado a valores de la cotización oficial de venta de la divisa.
2014-02-01,Patagonia,Total,45.73,Calculado a valores de la cotización oficial de venta de la divisa.
2014-03-01,Buenos Aires,1 y 2 estrellas,8.81,Calculado a valores de la cotización oficial de venta de la divisa.
2014-03-01,Buenos Aires,3 estrellas/boutiques/aparts,24.4,Calculado a valores de la cotización oficial de venta de la divisa.
2014-03-01,Buenos Aires,4 y 5 estrellas,37.71,Calculado a valores de la cotización oficial de venta de la divisa.
2014-03-01,Buenos Aires,Para Hoteles,18.01,Calculado a valores de la cotización oficial de venta de la divisa.
2014-03-01,Buenos Aires,Total,20.04,Calculado a valores de la cotización oficial de venta de la divisa.
2014-03-01,CABA,1 y 2 estrellas,16.41,Calculado a valores de la cotización oficial de venta de la divisa.
2014-03-01,CABA,3 estrellas/boutiques/aparts,37.32,Calculado a valores de la cotización oficial de venta de la divisa.
2014-03-01,CABA,4 y 5 estrellas,74.76,Calculado a valores de la cotización oficial de venta de la divisa.
2014-03-01,CABA,Para Hoteles,10.04,Calculado a valores de la cotización oficial de venta de la divisa.
2014-03-01,CABA,Total,43.52,Calculado a valores de la cotización oficial de venta de la divisa.
2014-03-01,Cuyo,1 y 2 estrellas,9.75,Calculado a valores de la cotización oficial de venta de la divisa.
2014-03-01,Cuyo,3 estrellas/boutiques/aparts,21.53,Calculado a valores de la cotización oficial de venta de la divisa.
2014-03-01,Cuyo,4 y 5 estrellas,42.28,Calculado a valores de la cotización oficial de venta de la divisa.
2014-03-01,Cuyo,Para Hoteles,5.38,Calculado a valores de la cotización oficial de venta de la divisa.
