indice_tiempo,region_de_destino,categoria_del_hotel,ingresos_por_habitacion_disponible_en_usd,observaciones
2012-02-01,Córdoba,Para Hoteles,54.07,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,Córdoba,Total,46.29,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,Litoral,1 y 2 estrellas,20.43,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,Litoral,3 estrellas/boutiques/aparts,29.23,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,Litoral,4 y 5 estrellas,50.43,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,Litoral,Para Hoteles,32.77,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,Litoral,Total,34.49,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,Norte,1 y 2 estrellas,12.7,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,Norte,3 estrellas/boutiques/aparts,23.4,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,Norte,4 y 5 estrellas,34.52,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,Norte,Para Hoteles,11.96,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,Norte,Total,18.8,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,Patagonia,1 y 2 estrellas,18.48,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,Patagonia,3 estrellas/boutiques/aparts,50.69,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,Patagonia,4 y 5 estrellas,65.86,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,Patagonia,Para Hoteles,20.36,Calculado a valores de la cotización oficial de venta de la divisa.
2012-02-01,Patagonia,Total,35.65,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Buenos Aires,1 y 2 estrellas,9.89,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Buenos Aires,3 estrellas/boutiques/aparts,24.56,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Buenos Aires,4 y 5 estrellas,36.23,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Buenos Aires,Para Hoteles,18.06,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Buenos Aires,Total,19.49,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,CABA,1 y 2 estrellas,22.12,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,CABA,3 estrellas/boutiques/aparts,53.06,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,CABA,4 y 5 estrellas,101.09,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,CABA,Para Hoteles,10.36,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,CABA,Total,57.02,Calculado a valores de la cotización oficial de venta de la divisa.
2012-03-01,Cuyo,1 y 2 estrellas,13.9,Calculado a valores de la cotización oficial de venta de la divisa.
