indice_tiempo,region_de_destino,categoria_del_hotel,ingresos_por_habitacion_disponible,observaciones
2016-07-01,Buenos Aires,Para Hoteles,107.5,""
2016-07-01,Buenos Aires,Total,208.6,""
2016-07-01,CABA,1 y 2 estrellas,236.8,""
2016-07-01,CABA,3 estrellas/boutiques/aparts,548,""
2016-07-01,CABA,4 y 5 estrellas,822.2,""
2016-07-01,CABA,Para Hoteles,122.4,""
2016-07-01,CABA,Total,524.6,""
2016-07-01,Cuyo,1 y 2 estrellas,253.2,""
2016-07-01,Cuyo,3 estrellas/boutiques/aparts,395.3,""
2016-07-01,Cuyo,4 y 5 estrellas,1008.2,""
2016-07-01,Cuyo,Para Hoteles,173.5,""
2016-07-01,Cuyo,Total,453,""
2016-07-01,Córdoba,1 y 2 estrellas,198.2,""
2016-07-01,Córdoba,3 estrellas/boutiques/aparts,322.2,""
2016-07-01,Córdoba,4 y 5 estrellas,617.6,""
2016-07-01,Córdoba,Para Hoteles,416.9,""
2016-07-01,Córdoba,Total,349.6,""
2016-07-01,Litoral,1 y 2 estrellas,181.1,""
2016-07-01,Litoral,3 estrellas/boutiques/aparts,327.9,""
2016-07-01,Litoral,4 y 5 estrellas,638.9,""
2016-07-01,Litoral,Para Hoteles,190.8,""
2016-07-01,Litoral,Total,361.4,""
2016-07-01,Norte,1 y 2 estrellas,257.4,""
2016-07-01,Norte,3 estrellas/boutiques/aparts,572,""
2016-07-01,Norte,4 y 5 estrellas,944.2,""
2016-07-01,Norte,Para Hoteles,190.1,""
2016-07-01,Norte,Total,452,""
2016-07-01,Patagonia,1 y 2 estrellas,401.3,""
2016-07-01,Patagonia,3 estrellas/boutiques/aparts,628,""
2016-07-01,Patagonia,4 y 5 estrellas,1215.8,""
2016-07-01,Patagonia,Para Hoteles,382.1,""
2016-07-01,Patagonia,Total,635.9,""
2016-08-01,Buenos Aires,1 y 2 estrellas,58.4,""
2016-08-01,Buenos Aires,3 estrellas/boutiques/aparts,166.3,""
2016-08-01,Buenos Aires,4 y 5 estrellas,313.7,""
2016-08-01,Buenos Aires,Para Hoteles,74.3,""
2016-08-01,Buenos Aires,Total,142.3,""
2016-08-01,CABA,1 y 2 estrellas,230.8,""
2016-08-01,CABA,3 estrellas/boutiques/aparts,488.8,""
2016-08-01,CABA,4 y 5 estrellas,844.3,""
2016-08-01,CABA,Para Hoteles,106.8,""
2016-08-01,CABA,Total,514.3,""
2016-08-01,Cuyo,1 y 2 estrellas,132.7,""
2016-08-01,Cuyo,3 estrellas/boutiques/aparts,261.5,""
2016-08-01,Cuyo,4 y 5 estrellas,564.7,""
2016-08-01,Cuyo,Para Hoteles,84.3,""
2016-08-01,Cuyo,Total,259.1,""
2016-08-01,Córdoba,1 y 2 estrellas,119.9,""
2016-08-01,Córdoba,3 estrellas/boutiques/aparts,204.9,""
2016-08-01,Córdoba,4 y 5 estrellas,477.5,""
2016-08-01,Córdoba,Para Hoteles,119.4,""
2016-08-01,Córdoba,Total,181.1,""
2016-08-01,Litoral,1 y 2 estrellas,174.9,""
2016-08-01,Litoral,3 estrellas/boutiques/aparts,318,""
2016-08-01,Litoral,4 y 5 estrellas,532,""
2016-08-01,Litoral,Para Hoteles,175.2,""
2016-08-01,Litoral,Total,323.3,""
2016-08-01,Norte,1 y 2 estrellas,242.4,""
2016-08-01,Norte,3 estrellas/boutiques/aparts,469.4,""
2016-08-01,Norte,4 y 5 estrellas,785.8,""
2016-08-01,Norte,Para Hoteles,108.5,""
2016-08-01,Norte,Total,369.1,""
2016-08-01,Patagonia,1 y 2 estrellas,398.6,""
2016-08-01,Patagonia,3 estrellas/boutiques/aparts,552,""
2016-08-01,Patagonia,4 y 5 estrellas,1045.5,""
2016-08-01,Patagonia,Para Hoteles,295,""
2016-08-01,Patagonia,Total,550.5,""
2016-09-01,Buenos Aires,1 y 2 estrellas,62.4,""
2016-09-01,Buenos Aires,3 estrellas/boutiques/aparts,178.4,""
2016-09-01,Buenos Aires,4 y 5 estrellas,365.1,""
2016-09-01,Buenos Aires,Para Hoteles,92.9,""
2016-09-01,Buenos Aires,Total,162.2,""
2016-09-01,CABA,1 y 2 estrellas,231.7,""
2016-09-01,CABA,3 estrellas/boutiques/aparts,515.7,""
2016-09-01,CABA,4 y 5 estrellas,935.3,""
2016-09-01,CABA,Para Hoteles,111,""
2016-09-01,CABA,Total,556.7,""
2016-09-01,Cuyo,1 y 2 estrellas,111.3,""
2016-09-01,Cuyo,3 estrellas/boutiques/aparts,283.5,""
2016-09-01,Cuyo,4 y 5 estrellas,607.3,""
2016-09-01,Cuyo,Para Hoteles,82.4,""
2016-09-01,Cuyo,Total,268.6,""
2016-09-01,Córdoba,1 y 2 estrellas,141.3,""
2016-09-01,Córdoba,3 estrellas/boutiques/aparts,226,""
2016-09-01,Córdoba,4 y 5 estrellas,500.4,""
2016-09-01,Córdoba,Para Hoteles,138.7,""
2016-09-01,Córdoba,Total,200.7,""
2016-09-01,Litoral,1 y 2 estrellas,173.4,""
2016-09-01,Litoral,3 estrellas/boutiques/aparts,357,""
2016-09-01,Litoral,4 y 5 estrellas,597.6,""
2016-09-01,Litoral,Para Hoteles,166.2,""
2016-09-01,Litoral,Total,351,""
2016-09-01,Norte,1 y 2 estrellas,163.6,""
2016-09-01,Norte,3 estrellas/boutiques/aparts,528.8,""
2016-09-01,Norte,4 y 5 estrellas,775.8,""
2016-09-01,Norte,Para Hoteles,105.8,""
2016-09-01,Norte,Total,370.9,""
2016-09-01,Patagonia,1 y 2 estrellas,582.3,""
2016-09-01,Patagonia,3 estrellas/boutiques/aparts,659.7,""
2016-09-01,Patagonia,4 y 5 estrellas,1195.7,""
2016-09-01,Patagonia,Para Hoteles,215.7,""
2016-09-01,Patagonia,Total,608.6,""
2016-10-01,Buenos Aires,1 y 2 estrellas,108.4,""
2016-10-01,Buenos Aires,3 estrellas/boutiques/aparts,299,""
2016-10-01,Buenos Aires,4 y 5 estrellas,487.9,""
2016-10-01,Buenos Aires,Para Hoteles,144.6,""
2016-10-01,Buenos Aires,Total,246.1,""
2016-10-01,CABA,1 y 2 estrellas,250.2,""
2016-10-01,CABA,3 estrellas/boutiques/aparts,583.3,""
2016-10-01,CABA,4 y 5 estrellas,1061.3,""
2016-10-01,CABA,Para Hoteles,114.1,""
2016-10-01,CABA,Total,629.6,""
2016-10-01,Cuyo,1 y 2 estrellas,148.2,""
2016-10-01,Cuyo,3 estrellas/boutiques/aparts,279.7,""
2016-10-01,Cuyo,4 y 5 estrellas,634.2,""
2016-10-01,Cuyo,Para Hoteles,111.8,""
2016-10-01,Cuyo,Total,284.7,""
2016-10-01,Córdoba,1 y 2 estrellas,168.7,""
2016-10-01,Córdoba,3 estrellas/boutiques/aparts,293.4,""
2016-10-01,Córdoba,4 y 5 estrellas,534.2,""
2016-10-01,Córdoba,Para Hoteles,302.6,""
2016-10-01,Córdoba,Total,284.1,""
2016-10-01,Litoral,1 y 2 estrellas,172.5,""
2016-10-01,Litoral,3 estrellas/boutiques/aparts,371.5,""
2016-10-01,Litoral,4 y 5 estrellas,668,""
2016-10-01,Litoral,Para Hoteles,205.1,""
2016-10-01,Litoral,Total,384.6,""
2016-10-01,Norte,1 y 2 estrellas,175.2,""
2016-10-01,Norte,3 estrellas/boutiques/aparts,430.1,""
2016-10-01,Norte,4 y 5 estrellas,765.5,""
2016-10-01,Norte,Para Hoteles,113,""
2016-10-01,Norte,Total,351,""
2016-10-01,Patagonia,1 y 2 estrellas,531.9,""
2016-10-01,Patagonia,3 estrellas/boutiques/aparts,659.7,""
2016-10-01,Patagonia,4 y 5 estrellas,1040.3,""
2016-10-01,Patagonia,Para Hoteles,221.1,""
2016-10-01,Patagonia,Total,566,""
2016-11-01,Buenos Aires,1 y 2 estrellas,102.9,""
2016-11-01,Buenos Aires,3 estrellas/boutiques/aparts,288.3,""
2016-11-01,Buenos Aires,4 y 5 estrellas,530.5,""
2016-11-01,Buenos Aires,Para Hoteles,147.1,""
2016-11-01,Buenos Aires,Total,241.1,""
2016-11-01,CABA,1 y 2 estrellas,251.3,""
2016-11-01,CABA,3 estrellas/boutiques/aparts,653.7,""
2016-11-01,CABA,4 y 5 estrellas,1221.1,""
2016-11-01,CABA,Para Hoteles,127.9,""
2016-11-01,CABA,Total,717.1,""
2016-11-01,Cuyo,1 y 2 estrellas,127,""
2016-11-01,Cuyo,3 estrellas/boutiques/aparts,275.8,""
2016-11-01,Cuyo,4 y 5 estrellas,525.5,""
2016-11-01,Cuyo,Para Hoteles,95.7,""
2016-11-01,Cuyo,Total,249.6,""
2016-11-01,Córdoba,1 y 2 estrellas,186.4,""
2016-11-01,Córdoba,3 estrellas/boutiques/aparts,311.4,""
2016-11-01,Córdoba,4 y 5 estrellas,570.4,""
2016-11-01,Córdoba,Para Hoteles,206.8,""
2016-11-01,Córdoba,Total,264.4,""
2016-11-01,Litoral,1 y 2 estrellas,203.1,""
2016-11-01,Litoral,3 estrellas/boutiques/aparts,376.3,""
2016-11-01,Litoral,4 y 5 estrellas,642.7,""
2016-11-01,Litoral,Para Hoteles,205.4,""
2016-11-01,Litoral,Total,383.2,""
2016-11-01,Norte,1 y 2 estrellas,145.4,""
2016-11-01,Norte,3 estrellas/boutiques/aparts,388.5,""
2016-11-01,Norte,4 y 5 estrellas,644.3,""
2016-11-01,Norte,Para Hoteles,92,""
2016-11-01,Norte,Total,300.4,""
2016-11-01,Patagonia,1 y 2 estrellas,395.6,""
2016-11-01,Patagonia,3 estrellas/boutiques/aparts,711.5,""
2016-11-01,Patagonia,4 y 5 estrellas,1205.4,""
2016-11-01,Patagonia,Para Hoteles,285.1,""
2016-11-01,Patagonia,Total,615.5,""
2016-12-01,Buenos Aires,1 y 2 estrellas,135.7,""
2016-12-01,Buenos Aires,3 estrellas/boutiques/aparts,361.1,""
2016-12-01,Buenos Aires,4 y 5 estrellas,562,""
2016-12-01,Buenos Aires,Para Hoteles,207.7,""
2016-12-01,Buenos Aires,Total,284.2,""
2016-12-01,CABA,1 y 2 estrellas,207.9,""
2016-12-01,CABA,3 estrellas/boutiques/aparts,509.6,""
2016-12-01,CABA,4 y 5 estrellas,932.2,""
2016-12-01,CABA,Para Hoteles,115,""
2016-12-01,CABA,Total,557.2,""
2016-12-01,Cuyo,1 y 2 estrellas,96.8,""
2016-12-01,Cuyo,3 estrellas/boutiques/aparts,254.7,""
2016-12-01,Cuyo,4 y 5 estrellas,492.4,""
2016-12-01,Cuyo,Para Hoteles,102.8,""
2016-12-01,Cuyo,Total,241.1,""
2016-12-01,Córdoba,1 y 2 estrellas,204.8,""
2016-12-01,Córdoba,3 estrellas/boutiques/aparts,316.3,""
2016-12-01,Córdoba,4 y 5 estrellas,536.1,""
2016-12-01,Córdoba,Para Hoteles,291.9,""
2016-12-01,Córdoba,Total,297.9,""
2016-12-01,Litoral,1 y 2 estrellas,170.1,""
2016-12-01,Litoral,3 estrellas/boutiques/aparts,314.5,""
2016-12-01,Litoral,4 y 5 estrellas,596.1,""
2016-12-01,Litoral,Para Hoteles,168.1,""
2016-12-01,Litoral,Total,336.8,""
2016-12-01,Norte,1 y 2 estrellas,159,""
2016-12-01,Norte,3 estrellas/boutiques/aparts,293.1,""
2016-12-01,Norte,4 y 5 estrellas,432,""
2016-12-01,Norte,Para Hoteles,76.6,""
2016-12-01,Norte,Total,226.5,""
2016-12-01,Patagonia,1 y 2 estrellas,507.5,""
2016-12-01,Patagonia,3 estrellas/boutiques/aparts,660.4,""
2016-12-01,Patagonia,4 y 5 estrellas,1265.8,""
2016-12-01,Patagonia,Para Hoteles,302,""
2016-12-01,Patagonia,Total,635.6,""
2017-01-01,Buenos Aires,1 y 2 estrellas,405.2,""
2017-01-01,Buenos Aires,3 estrellas/boutiques/aparts,1027.6,""
2017-01-01,Buenos Aires,4 y 5 estrellas,1257.2,""
2017-01-01,Buenos Aires,Para Hoteles,553.4,""
2017-01-01,Buenos Aires,Total,707.8,""
2017-01-01,CABA,1 y 2 estrellas,223,""
2017-01-01,CABA,3 estrellas/boutiques/aparts,448.7,""
2017-01-01,CABA,4 y 5 estrellas,830.9,""
2017-01-01,CABA,Para Hoteles,104.4,""
2017-01-01,CABA,Total,499.6,""
2017-01-01,Cuyo,1 y 2 estrellas,193.3,""
2017-01-01,Cuyo,3 estrellas/boutiques/aparts,426.9,""
2017-01-01,Cuyo,4 y 5 estrellas,606.3,""
2017-01-01,Cuyo,Para Hoteles,299.7,""
2017-01-01,Cuyo,Total,384.5,""
2017-01-01,Córdoba,1 y 2 estrellas,490,""
2017-01-01,Córdoba,3 estrellas/boutiques/aparts,665.1,""
2017-01-01,Córdoba,4 y 5 estrellas,686.6,""
2017-01-01,Córdoba,Para Hoteles,899.6,""
2017-01-01,Córdoba,Total,695.4,""
2017-01-01,Litoral,1 y 2 estrellas,218,""
2017-01-01,Litoral,3 estrellas/boutiques/aparts,341.3,""
2017-01-01,Litoral,4 y 5 estrellas,634.8,""
2017-01-01,Litoral,Para Hoteles,359.9,""
2017-01-01,Litoral,Total,413.9,""
2017-01-01,Norte,1 y 2 estrellas,182.7,""
2017-01-01,Norte,3 estrellas/boutiques/aparts,358.5,""
2017-01-01,Norte,4 y 5 estrellas,553,""
2017-01-01,Norte,Para Hoteles,179.3,""
2017-01-01,Norte,Total,302.5,""
2017-01-01,Patagonia,1 y 2 estrellas,607.5,""
2017-01-01,Patagonia,3 estrellas/boutiques/aparts,1046.1,""
2017-01-01,Patagonia,4 y 5 estrellas,1702.9,""
2017-01-01,Patagonia,Para Hoteles,584.4,""
2017-01-01,Patagonia,Total,925.7,""
2017-02-01,Buenos Aires,1 y 2 estrellas,349.4,""
2017-02-01,Buenos Aires,3 estrellas/boutiques/aparts,885,""
2017-02-01,Buenos Aires,4 y 5 estrellas,1154.4,""
2017-02-01,Buenos Aires,Para Hoteles,514.9,""
2017-02-01,Buenos Aires,Total,630.6,""
2017-02-01,CABA,1 y 2 estrellas,238.8,""
2017-02-01,CABA,3 estrellas/boutiques/aparts,503,""
2017-02-01,CABA,4 y 5 estrellas,953.7,""
2017-02-01,CABA,Para Hoteles,112.2,""
2017-02-01,CABA,Total,569.9,""
2017-02-01,Cuyo,1 y 2 estrellas,174.9,""
2017-02-01,Cuyo,3 estrellas/boutiques/aparts,444.4,""
2017-02-01,Cuyo,4 y 5 estrellas,634.9,""
2017-02-01,Cuyo,Para Hoteles,214.5,""
2017-02-01,Cuyo,Total,371.5,""
2017-02-01,Córdoba,1 y 2 estrellas,482.1,""
2017-02-01,Córdoba,3 estrellas/boutiques/aparts,656.4,""
2017-02-01,Córdoba,4 y 5 estrellas,729.2,""
2017-02-01,Córdoba,Para Hoteles,798,""
2017-02-01,Córdoba,Total,658.3,""
2017-02-01,Litoral,1 y 2 estrellas,240.3,""
2017-02-01,Litoral,3 estrellas/boutiques/aparts,417.6,""
2017-02-01,Litoral,4 y 5 estrellas,738.3,""
2017-02-01,Litoral,Para Hoteles,361.3,""
2017-02-01,Litoral,Total,472.3,""
2017-02-01,Norte,1 y 2 estrellas,167.9,""
2017-02-01,Norte,3 estrellas/boutiques/aparts,330.6,""
2017-02-01,Norte,4 y 5 estrellas,577.4,""
2017-02-01,Norte,Para Hoteles,193.5,""
2017-02-01,Norte,Total,296.9,""
2017-02-01,Patagonia,1 y 2 estrellas,622.1,""
2017-02-01,Patagonia,3 estrellas/boutiques/aparts,833.6,""
2017-02-01,Patagonia,4 y 5 estrellas,1665.3,""
2017-02-01,Patagonia,Para Hoteles,593.4,""
2017-02-01,Patagonia,Total,880.9,""
2017-03-01,Buenos Aires,1 y 2 estrellas,135.5,""
2017-03-01,Buenos Aires,3 estrellas/boutiques/aparts,427.4,""
2017-03-01,Buenos Aires,4 y 5 estrellas,590.1,""
2017-03-01,Buenos Aires,Para Hoteles,219.8,""
2017-03-01,Buenos Aires,Total,319.8,""
2017-03-01,CABA,1 y 2 estrellas,250.1,""
2017-03-01,CABA,3 estrellas/boutiques/aparts,593.5,""
2017-03-01,CABA,4 y 5 estrellas,1106.2,""
2017-03-01,CABA,Para Hoteles,110.8,""
2017-03-01,CABA,Total,654.5,""
2017-03-01,Cuyo,1 y 2 estrellas,130.7,""
2017-03-01,Cuyo,3 estrellas/boutiques/aparts,360.7,""
2017-03-01,Cuyo,4 y 5 estrellas,578.1,""
2017-03-01,Cuyo,Para Hoteles,98.9,""
2017-03-01,Cuyo,Total,300,""
2017-03-01,Córdoba,1 y 2 estrellas,242.2,""
2017-03-01,Córdoba,3 estrellas/boutiques/aparts,365,""
2017-03-01,Córdoba,4 y 5 estrellas,513.4,""
2017-03-01,Córdoba,Para Hoteles,350.5,""
2017-03-01,Córdoba,Total,337,""
2017-03-01,Litoral,1 y 2 estrellas,170.1,""
2017-03-01,Litoral,3 estrellas/boutiques/aparts,362.4,""
2017-03-01,Litoral,4 y 5 estrellas,642.7,""
2017-03-01,Litoral,Para Hoteles,214.8,""
2017-03-01,Litoral,Total,380.6,""
2017-03-01,Norte,1 y 2 estrellas,133,""
2017-03-01,Norte,3 estrellas/boutiques/aparts,280,""
2017-03-01,Norte,4 y 5 estrellas,518.8,""
2017-03-01,Norte,Para Hoteles,109.3,""
2017-03-01,Norte,Total,237.8,""
2017-03-01,Patagonia,1 y 2 estrellas,430.5,""
2017-03-01,Patagonia,3 estrellas/boutiques/aparts,647.9,""
2017-03-01,Patagonia,4 y 5 estrellas,1170.8,""
2017-03-01,Patagonia,Para Hoteles,298.7,""
2017-03-01,Patagonia,Total,595,""
2017-04-01,Buenos Aires,1 y 2 estrellas,98.5,""
2017-04-01,Buenos Aires,3 estrellas/boutiques/aparts,340.2,""
2017-04-01,Buenos Aires,4 y 5 estrellas,520.4,""
2017-04-01,Buenos Aires,Para Hoteles,167.3,""
2017-04-01,Buenos Aires,Total,271.3,""
2017-04-01,CABA,1 y 2 estrellas,279.9,""
2017-04-01,CABA,3 estrellas/boutiques/aparts,633.8,""
2017-04-01,CABA,4 y 5 estrellas,1073.2,""
2017-04-01,CABA,Para Hoteles,135.3,""
2017-04-01,CABA,Total,657.7,""
2017-04-01,Cuyo,1 y 2 estrellas,120.2,""
2017-04-01,Cuyo,3 estrellas/boutiques/aparts,343.2,""
2017-04-01,Cuyo,4 y 5 estrellas,651.9,""
2017-04-01,Cuyo,Para Hoteles,102,""
2017-04-01,Cuyo,Total,311.3,""
2017-04-01,Córdoba,1 y 2 estrellas,196.2,""
2017-04-01,Córdoba,3 estrellas/boutiques/aparts,306.9,""
2017-04-01,Córdoba,4 y 5 estrellas,554.2,""
2017-04-01,Córdoba,Para Hoteles,265.1,""
2017-04-01,Córdoba,Total,285.4,""
2017-04-01,Litoral,1 y 2 estrellas,187.1,""
2017-04-01,Litoral,3 estrellas/boutiques/aparts,349.4,""
2017-04-01,Litoral,4 y 5 estrellas,650.4,""
2017-04-01,Litoral,Para Hoteles,218.1,""
2017-04-01,Litoral,Total,382.5,""
2017-04-01,Norte,1 y 2 estrellas,186,""
2017-04-01,Norte,3 estrellas/boutiques/aparts,421.2,""
2017-04-01,Norte,4 y 5 estrellas,721.4,""
2017-04-01,Norte,Para Hoteles,133.6,""
2017-04-01,Norte,Total,330.5,""
2017-04-01,Patagonia,1 y 2 estrellas,298.3,""
2017-04-01,Patagonia,3 estrellas/boutiques/aparts,562,""
2017-04-01,Patagonia,4 y 5 estrellas,919.4,""
2017-04-01,Patagonia,Para Hoteles,227.2,""
2017-04-01,Patagonia,Total,486.3,""
2017-05-01,Buenos Aires,1 y 2 estrellas,76.1,""
2017-05-01,Buenos Aires,3 estrellas/boutiques/aparts,187.1,""
2017-05-01,Buenos Aires,4 y 5 estrellas,332,""
2017-05-01,Buenos Aires,Para Hoteles,91,""
2017-05-01,Buenos Aires,Total,165.2,""
2017-05-01,CABA,1 y 2 estrellas,272.6,""
2017-05-01,CABA,3 estrellas/boutiques/aparts,568.8,""
2017-05-01,CABA,4 y 5 estrellas,1034.2,""
2017-05-01,CABA,Para Hoteles,123.9,""
2017-05-01,CABA,Total,625,""
2017-05-01,Cuyo,1 y 2 estrellas,95.4,""
2017-05-01,Cuyo,3 estrellas/boutiques/aparts,268.3,""
2017-05-01,Cuyo,4 y 5 estrellas,533.2,""
2017-05-01,Cuyo,Para Hoteles,50.2,""
2017-05-01,Cuyo,Total,242.5,""
2017-05-01,Córdoba,1 y 2 estrellas,165.5,""
2017-05-01,Córdoba,3 estrellas/boutiques/aparts,217.9,""
2017-05-01,Córdoba,4 y 5 estrellas,499,""
2017-05-01,Córdoba,Para Hoteles,115.7,""
2017-05-01,Córdoba,Total,202.7,""
2017-05-01,Litoral,1 y 2 estrellas,192.8,""
2017-05-01,Litoral,3 estrellas/boutiques/aparts,335.4,""
2017-05-01,Litoral,4 y 5 estrellas,557.3,""
2017-05-01,Litoral,Para Hoteles,169,""
2017-05-01,Litoral,Total,342.6,""
2017-05-01,Norte,1 y 2 estrellas,143.1,""
2017-05-01,Norte,3 estrellas/boutiques/aparts,340.1,""
2017-05-01,Norte,4 y 5 estrellas,605.3,""
2017-05-01,Norte,Para Hoteles,106.5,""
2017-05-01,Norte,Total,270.8,""
2017-05-01,Patagonia,1 y 2 estrellas,292.8,""
2017-05-01,Patagonia,3 estrellas/boutiques/aparts,445.5,""
2017-05-01,Patagonia,4 y 5 estrellas,632.3,""
2017-05-01,Patagonia,Para Hoteles,123.5,""
2017-05-01,Patagonia,Total,359.3,""
2017-06-01,Buenos Aires,1 y 2 estrellas,70.1,""
2017-06-01,Buenos Aires,3 estrellas/boutiques/aparts,197.6,""
2017-06-01,Buenos Aires,4 y 5 estrellas,327,""
2017-06-01,Buenos Aires,Para Hoteles,93.6,""
2017-06-01,Buenos Aires,Total,168,""
2017-06-01,CABA,1 y 2 estrellas,272.6,""
2017-06-01,CABA,3 estrellas/boutiques/aparts,597.2,""
2017-06-01,CABA,4 y 5 estrellas,964.1,""
2017-06-01,CABA,Para Hoteles,118.6,""
2017-06-01,CABA,Total,601.5,""
2017-06-01,Cuyo,1 y 2 estrellas,124.2,""
2017-06-01,Cuyo,3 estrellas/boutiques/aparts,260.5,""
2017-06-01,Cuyo,4 y 5 estrellas,558.5,""
2017-06-01,Cuyo,Para Hoteles,65.8,""
2017-06-01,Cuyo,Total,259.5,""
2017-06-01,Córdoba,1 y 2 estrellas,187.8,""
2017-06-01,Córdoba,3 estrellas/boutiques/aparts,223.4,""
2017-06-01,Córdoba,4 y 5 estrellas,493.7,""
2017-06-01,Córdoba,Para Hoteles,114.7,""
2017-06-01,Córdoba,Total,208.2,""
2017-06-01,Litoral,1 y 2 estrellas,181.4,""
2017-06-01,Litoral,3 estrellas/boutiques/aparts,354.2,""
2017-06-01,Litoral,4 y 5 estrellas,602,""
2017-06-01,Litoral,Para Hoteles,165.1,""
2017-06-01,Litoral,Total,357.6,""
2017-06-01,Norte,1 y 2 estrellas,175.3,""
2017-06-01,Norte,3 estrellas/boutiques/aparts,331.9,""
2017-06-01,Norte,4 y 5 estrellas,734.5,""
2017-06-01,Norte,Para Hoteles,107.8,""
2017-06-01,Norte,Total,298.9,""
2017-06-01,Patagonia,1 y 2 estrellas,296.9,""
2017-06-01,Patagonia,3 estrellas/boutiques/aparts,485.5,""
2017-06-01,Patagonia,4 y 5 estrellas,767.9,""
2017-06-01,Patagonia,Para Hoteles,119.6,""
2017-06-01,Patagonia,Total,401.5,""
2017-07-01,Buenos Aires,1 y 2 estrellas,85,""
2017-07-01,Buenos Aires,3 estrellas/boutiques/aparts,360.2,""
2017-07-01,Buenos Aires,4 y 5 estrellas,508.7,""
2017-07-01,Buenos Aires,Para Hoteles,176.4,""
2017-07-01,Buenos Aires,Total,281.1,""
2017-07-01,CABA,1 y 2 estrellas,319.8,""
2017-07-01,CABA,3 estrellas/boutiques/aparts,737.7,""
2017-07-01,CABA,4 y 5 estrellas,1087,""
2017-07-01,CABA,Para Hoteles,144.4,""
2017-07-01,CABA,Total,708.5,""
2017-07-01,Cuyo,1 y 2 estrellas,258.4,""
2017-07-01,Cuyo,3 estrellas/boutiques/aparts,477.8,""
2017-07-01,Cuyo,4 y 5 estrellas,1024.9,""
2017-07-01,Cuyo,Para Hoteles,170.3,""
2017-07-01,Cuyo,Total,496.1,""
2017-07-01,Córdoba,1 y 2 estrellas,294.2,""
2017-07-01,Córdoba,3 estrellas/boutiques/aparts,427.9,""
2017-07-01,Córdoba,4 y 5 estrellas,693.7,""
2017-07-01,Córdoba,Para Hoteles,497.4,""
2017-07-01,Córdoba,Total,441.7,""
2017-07-01,Litoral,1 y 2 estrellas,231.8,""
2017-07-01,Litoral,3 estrellas/boutiques/aparts,462.9,""
2017-07-01,Litoral,4 y 5 estrellas,851.2,""
2017-07-01,Litoral,Para Hoteles,327.7,""
2017-07-01,Litoral,Total,510.7,""
2017-07-01,Norte,1 y 2 estrellas,337.9,""
2017-07-01,Norte,3 estrellas/boutiques/aparts,619.1,""
2017-07-01,Norte,4 y 5 estrellas,1322,""
2017-07-01,Norte,Para Hoteles,300.4,""
2017-07-01,Norte,Total,575.6,""
2017-07-01,Patagonia,1 y 2 estrellas,660.9,""
2017-07-01,Patagonia,3 estrellas/boutiques/aparts,977.7,""
2017-07-01,Patagonia,4 y 5 estrellas,1895.9,""
2017-07-01,Patagonia,Para Hoteles,470.3,""
2017-07-01,Patagonia,Total,947.7,""
2017-08-01,Buenos Aires,1 y 2 estrellas,82.7,""
2017-08-01,Buenos Aires,3 estrellas/boutiques/aparts,269,""
2017-08-01,Buenos Aires,4 y 5 estrellas,406.4,""
2017-08-01,Buenos Aires,Para Hoteles,122.8,""
2017-08-01,Buenos Aires,Total,215.4,""
2017-08-01,CABA,1 y 2 estrellas,285.3,""
2017-08-01,CABA,3 estrellas/boutiques/aparts,669.4,""
2017-08-01,CABA,4 y 5 estrellas,1071.4,""
2017-08-01,CABA,Para Hoteles,131.3,""
2017-08-01,CABA,Total,671.1,""
2017-08-01,Cuyo,1 y 2 estrellas,155.3,""
2017-08-01,Cuyo,3 estrellas/boutiques/aparts,368.5,""
2017-08-01,Cuyo,4 y 5 estrellas,752.4,""
2017-08-01,Cuyo,Para Hoteles,92.6,""
2017-08-01,Cuyo,Total,358.2,""
2017-08-01,Córdoba,1 y 2 estrellas,205.1,""
2017-08-01,Córdoba,3 estrellas/boutiques/aparts,307.1,""
2017-08-01,Córdoba,4 y 5 estrellas,543.3,""
2017-08-01,Córdoba,Para Hoteles,220.4,""
2017-08-01,Córdoba,Total,274.3,""
2017-08-01,Litoral,1 y 2 estrellas,201.4,""
2017-08-01,Litoral,3 estrellas/boutiques/aparts,382,""
2017-08-01,Litoral,4 y 5 estrellas,750.7,""
2017-08-01,Litoral,Para Hoteles,219,""
2017-08-01,Litoral,Total,423.8,""
2017-08-01,Norte,1 y 2 estrellas,273.4,""
2017-08-01,Norte,3 estrellas/boutiques/aparts,517.9,""
2017-08-01,Norte,4 y 5 estrellas,1119.4,""
2017-08-01,Norte,Para Hoteles,161.5,""
2017-08-01,Norte,Total,451.4,""
2017-08-01,Patagonia,1 y 2 estrellas,601.7,""
2017-08-01,Patagonia,3 estrellas/boutiques/aparts,823.6,""
2017-08-01,Patagonia,4 y 5 estrellas,1494.6,""
2017-08-01,Patagonia,Para Hoteles,358.6,""
2017-08-01,Patagonia,Total,770.1,""
2017-09-01,Buenos Aires,1 y 2 estrellas,99.5,""
2017-09-01,Buenos Aires,3 estrellas/boutiques/aparts,294.6,""
2017-09-01,Buenos Aires,4 y 5 estrellas,481.7,""
2017-09-01,Buenos Aires,Para Hoteles,135.1,""
2017-09-01,Buenos Aires,Total,243.9,""
2017-09-01,CABA,1 y 2 estrellas,321.3,""
2017-09-01,CABA,3 estrellas/boutiques/aparts,715.4,""
