indice_tiempo,region_de_destino,categoria_del_hotel,puestos_de_trabajo_equivalentes,observaciones
2012-04-01,Cuyo,4 y 5 estrellas,2491,""
2012-04-01,Cuyo,Para Hoteles,877,""
2012-04-01,Córdoba,1 y 2 estrellas,1459,""
2012-04-01,Córdoba,3 estrellas/boutiques/aparts,1410,""
2012-04-01,Córdoba,4 y 5 estrellas,864,""
2012-04-01,Córdoba,Para Hoteles,1704,""
2012-04-01,Litoral,1 y 2 estrellas,903,""
2012-04-01,Litoral,3 estrellas/boutiques/aparts,1963,""
2012-04-01,Litoral,4 y 5 estrellas,3498,""
2012-04-01,Litoral,Para Hoteles,1892,""
2012-04-01,Norte,1 y 2 estrellas,874,""
2012-04-01,Norte,3 estrellas/boutiques/aparts,1710,""
2012-04-01,Norte,4 y 5 estrellas,1557,""
2012-04-01,Norte,Para Hoteles,1395,""
2012-04-01,Patagonia,1 y 2 estrellas,1295,""
2012-04-01,Patagonia,3 estrellas/boutiques/aparts,2485,""
2012-04-01,Patagonia,4 y 5 estrellas,2956,""
2012-04-01,Patagonia,Para Hoteles,2120,""
2012-05-01,Buenos Aires,1 y 2 estrellas,1000,""
2012-05-01,Buenos Aires,3 estrellas/boutiques/aparts,1767,""
2012-05-01,Buenos Aires,4 y 5 estrellas,1400,""
2012-05-01,Buenos Aires,Para Hoteles,2364,""
2012-05-01,CABA,1 y 2 estrellas,990,""
2012-05-01,CABA,3 estrellas/boutiques/aparts,3848,""
2012-05-01,CABA,4 y 5 estrellas,8404,""
2012-05-01,CABA,Para Hoteles,1507,""
2012-05-01,Cuyo,1 y 2 estrellas,952,""
2012-05-01,Cuyo,3 estrellas/boutiques/aparts,1771,""
2012-05-01,Cuyo,4 y 5 estrellas,2537,""
2012-05-01,Cuyo,Para Hoteles,835,""
2012-05-01,Córdoba,1 y 2 estrellas,1151,""
2012-05-01,Córdoba,3 estrellas/boutiques/aparts,1374,""
2012-05-01,Córdoba,4 y 5 estrellas,847,""
2012-05-01,Córdoba,Para Hoteles,1201,""
2012-05-01,Litoral,1 y 2 estrellas,833,""
2012-05-01,Litoral,3 estrellas/boutiques/aparts,1986,""
2012-05-01,Litoral,4 y 5 estrellas,3162,""
2012-05-01,Litoral,Para Hoteles,1695,""
2012-05-01,Norte,1 y 2 estrellas,885,""
2012-05-01,Norte,3 estrellas/boutiques/aparts,1770,""
2012-05-01,Norte,4 y 5 estrellas,1558,""
2012-05-01,Norte,Para Hoteles,1331,""
2012-05-01,Patagonia,1 y 2 estrellas,1279,""
2012-05-01,Patagonia,3 estrellas/boutiques/aparts,2209,""
2012-05-01,Patagonia,4 y 5 estrellas,2606,""
2012-05-01,Patagonia,Para Hoteles,1540,""
2012-06-01,Buenos Aires,1 y 2 estrellas,1005,""
2012-06-01,Buenos Aires,3 estrellas/boutiques/aparts,1631,""
2012-06-01,Buenos Aires,4 y 5 estrellas,1346,""
2012-06-01,Buenos Aires,Para Hoteles,2092,""
2012-06-01,CABA,1 y 2 estrellas,994,""
2012-06-01,CABA,3 estrellas/boutiques/aparts,3813,""
2012-06-01,CABA,4 y 5 estrellas,8361,""
2012-06-01,CABA,Para Hoteles,1548,""
2012-06-01,Cuyo,1 y 2 estrellas,954,""
2012-06-01,Cuyo,3 estrellas/boutiques/aparts,1755,""
2012-06-01,Cuyo,4 y 5 estrellas,2630,""
2012-06-01,Cuyo,Para Hoteles,782,""
2012-06-01,Córdoba,1 y 2 estrellas,1115,""
2012-06-01,Córdoba,3 estrellas/boutiques/aparts,1282,""
2012-06-01,Córdoba,4 y 5 estrellas,842,""
2012-06-01,Córdoba,Para Hoteles,1068,""
2012-06-01,Litoral,1 y 2 estrellas,849,""
2012-06-01,Litoral,3 estrellas/boutiques/aparts,1905,""
2012-06-01,Litoral,4 y 5 estrellas,3387,""
2012-06-01,Litoral,Para Hoteles,1520,""
