indice_tiempo,region_de_destino,categoria_del_hotel,puestos_de_trabajo_equivalentes,observaciones
2015-09-01,Cuyo,Para Hoteles,778,""
2015-09-01,Córdoba,1 y 2 estrellas,902,""
2015-09-01,Córdoba,3 estrellas/boutiques/aparts,1104,""
2015-09-01,Córdoba,4 y 5 estrellas,964,""
2015-09-01,Córdoba,Para Hoteles,1532,""
2015-09-01,Litoral,1 y 2 estrellas,853,""
2015-09-01,Litoral,3 estrellas/boutiques/aparts,1848,""
2015-09-01,Litoral,4 y 5 estrellas,3756,""
2015-09-01,Litoral,Para Hoteles,1133,""
2015-09-01,Norte,1 y 2 estrellas,1063,""
2015-09-01,Norte,3 estrellas/boutiques/aparts,1801,""
2015-09-01,Norte,4 y 5 estrellas,2305,""
2015-09-01,Norte,Para Hoteles,1296,""
2015-09-01,Patagonia,1 y 2 estrellas,1656,""
2015-09-01,Patagonia,3 estrellas/boutiques/aparts,2692,""
2015-09-01,Patagonia,4 y 5 estrellas,3515,""
2015-09-01,Patagonia,Para Hoteles,1757,""
2015-10-01,Buenos Aires,1 y 2 estrellas,537,""
2015-10-01,Buenos Aires,3 estrellas/boutiques/aparts,1777,""
2015-10-01,Buenos Aires,4 y 5 estrellas,1480,""
2015-10-01,Buenos Aires,Para Hoteles,1820,""
2015-10-01,CABA,1 y 2 estrellas,892,""
2015-10-01,CABA,3 estrellas/boutiques/aparts,3567,""
2015-10-01,CABA,4 y 5 estrellas,8323,""
2015-10-01,CABA,Para Hoteles,1566,""
2015-10-01,Cuyo,1 y 2 estrellas,896,""
2015-10-01,Cuyo,3 estrellas/boutiques/aparts,1762,""
2015-10-01,Cuyo,4 y 5 estrellas,2742,""
2015-10-01,Cuyo,Para Hoteles,777,""
2015-10-01,Córdoba,1 y 2 estrellas,1006,""
2015-10-01,Córdoba,3 estrellas/boutiques/aparts,1111,""
2015-10-01,Córdoba,4 y 5 estrellas,961,""
2015-10-01,Córdoba,Para Hoteles,1463,""
2015-10-01,Litoral,1 y 2 estrellas,817,""
2015-10-01,Litoral,3 estrellas/boutiques/aparts,1789,""
2015-10-01,Litoral,4 y 5 estrellas,3767,""
2015-10-01,Litoral,Para Hoteles,1083,""
2015-10-01,Norte,1 y 2 estrellas,868,""
2015-10-01,Norte,3 estrellas/boutiques/aparts,1704,""
2015-10-01,Norte,4 y 5 estrellas,2263,""
2015-10-01,Norte,Para Hoteles,1187,""
2015-10-01,Patagonia,1 y 2 estrellas,1631,""
2015-10-01,Patagonia,3 estrellas/boutiques/aparts,2627,""
2015-10-01,Patagonia,4 y 5 estrellas,3667,""
2015-10-01,Patagonia,Para Hoteles,1718,""
2015-11-01,Buenos Aires,1 y 2 estrellas,527,""
2015-11-01,Buenos Aires,3 estrellas/boutiques/aparts,1848,""
2015-11-01,Buenos Aires,4 y 5 estrellas,1497,""
2015-11-01,Buenos Aires,Para Hoteles,1842,""
2015-11-01,CABA,1 y 2 estrellas,905,""
2015-11-01,CABA,3 estrellas/boutiques/aparts,3569,""
2015-11-01,CABA,4 y 5 estrellas,8381,""
2015-11-01,CABA,Para Hoteles,2988,""
2015-11-01,Cuyo,1 y 2 estrellas,918,""
2015-11-01,Cuyo,3 estrellas/boutiques/aparts,1855,""
2015-11-01,Cuyo,4 y 5 estrellas,2660,""
2015-11-01,Cuyo,Para Hoteles,770,""
2015-11-01,Córdoba,1 y 2 estrellas,977,""
2015-11-01,Córdoba,3 estrellas/boutiques/aparts,1141,""
2015-11-01,Córdoba,4 y 5 estrellas,955,""
2015-11-01,Córdoba,Para Hoteles,1431,""
2015-11-01,Litoral,1 y 2 estrellas,825,""
2015-11-01,Litoral,3 estrellas/boutiques/aparts,1739,""
2015-11-01,Litoral,4 y 5 estrellas,3704,""
2015-11-01,Litoral,Para Hoteles,1119,""
2015-11-01,Norte,1 y 2 estrellas,761,""
2015-11-01,Norte,3 estrellas/boutiques/aparts,1590,""
2015-11-01,Norte,4 y 5 estrellas,2232,""
2015-11-01,Norte,Para Hoteles,1175,""
2015-11-01,Patagonia,1 y 2 estrellas,1423,""
2015-11-01,Patagonia,3 estrellas/boutiques/aparts,2564,""
2015-11-01,Patagonia,4 y 5 estrellas,3738,""
2015-11-01,Patagonia,Para Hoteles,1857,""
2015-12-01,Buenos Aires,1 y 2 estrellas,788,""
2015-12-01,Buenos Aires,3 estrellas/boutiques/aparts,2354,""
2015-12-01,Buenos Aires,4 y 5 estrellas,1748,""
2015-12-01,Buenos Aires,Para Hoteles,2198,""
2015-12-01,CABA,1 y 2 estrellas,934,""
2015-12-01,CABA,3 estrellas/boutiques/aparts,3565,""
2015-12-01,CABA,4 y 5 estrellas,8399,""
2015-12-01,CABA,Para Hoteles,1570,""
2015-12-01,Cuyo,1 y 2 estrellas,875,""
2015-12-01,Cuyo,3 estrellas/boutiques/aparts,1832,""
2015-12-01,Cuyo,4 y 5 estrellas,2723,""
2015-12-01,Cuyo,Para Hoteles,763,""
2015-12-01,Córdoba,1 y 2 estrellas,1021,""
2015-12-01,Córdoba,3 estrellas/boutiques/aparts,1182,""
2015-12-01,Córdoba,4 y 5 estrellas,967,""
2015-12-01,Córdoba,Para Hoteles,1564,""
2015-12-01,Litoral,1 y 2 estrellas,786,""
2015-12-01,Litoral,3 estrellas/boutiques/aparts,1765,""
2015-12-01,Litoral,4 y 5 estrellas,3789,""
2015-12-01,Litoral,Para Hoteles,1097,""
2015-12-01,Norte,1 y 2 estrellas,700,""
2015-12-01,Norte,3 estrellas/boutiques/aparts,1441,""
2015-12-01,Norte,4 y 5 estrellas,2064,""
2015-12-01,Norte,Para Hoteles,1211,""
2015-12-01,Patagonia,1 y 2 estrellas,1647,""
2015-12-01,Patagonia,3 estrellas/boutiques/aparts,2771,""
2015-12-01,Patagonia,4 y 5 estrellas,3786,""
2015-12-01,Patagonia,Para Hoteles,2025,""
2016-01-01,Buenos Aires,1 y 2 estrellas,2063,""
2016-01-01,Buenos Aires,3 estrellas/boutiques/aparts,3456,""
2016-01-01,Buenos Aires,4 y 5 estrellas,2063,""
2016-01-01,Buenos Aires,Para Hoteles,3711,""
2016-01-01,CABA,1 y 2 estrellas,959,""
2016-01-01,CABA,3 estrellas/boutiques/aparts,3526,""
2016-01-01,CABA,4 y 5 estrellas,8065,""
2016-01-01,CABA,Para Hoteles,1412,""
2016-01-01,Cuyo,1 y 2 estrellas,932,""
2016-01-01,Cuyo,3 estrellas/boutiques/aparts,1942,""
2016-01-01,Cuyo,4 y 5 estrellas,2778,""
2016-01-01,Cuyo,Para Hoteles,873,""
2016-01-01,Córdoba,1 y 2 estrellas,1579,""
2016-01-01,Córdoba,3 estrellas/boutiques/aparts,1391,""
2016-01-01,Córdoba,4 y 5 estrellas,974,""
2016-01-01,Córdoba,Para Hoteles,2172,""
2016-01-01,Litoral,1 y 2 estrellas,816,""
2016-01-01,Litoral,3 estrellas/boutiques/aparts,1841,""
2016-01-01,Litoral,4 y 5 estrellas,3678,""
2016-01-01,Litoral,Para Hoteles,1253,""
2016-01-01,Norte,1 y 2 estrellas,840,""
2016-01-01,Norte,3 estrellas/boutiques/aparts,1670,""
2016-01-01,Norte,4 y 5 estrellas,2180,""
2016-01-01,Norte,Para Hoteles,2424,""
2016-01-01,Patagonia,1 y 2 estrellas,1727,""
2016-01-01,Patagonia,3 estrellas/boutiques/aparts,2908,""
2016-01-01,Patagonia,4 y 5 estrellas,4197,""
2016-01-01,Patagonia,Para Hoteles,2724,""
2016-02-01,Buenos Aires,1 y 2 estrellas,2012,""
2016-02-01,Buenos Aires,3 estrellas/boutiques/aparts,3178,""
2016-02-01,Buenos Aires,4 y 5 estrellas,1900,""
2016-02-01,Buenos Aires,Para Hoteles,3423,""
2016-02-01,CABA,1 y 2 estrellas,945,""
2016-02-01,CABA,3 estrellas/boutiques/aparts,3534,""
2016-02-01,CABA,4 y 5 estrellas,8218,""
2016-02-01,CABA,Para Hoteles,1454,""
2016-02-01,Cuyo,1 y 2 estrellas,941,""
2016-02-01,Cuyo,3 estrellas/boutiques/aparts,1851,""
2016-02-01,Cuyo,4 y 5 estrellas,2759,""
2016-02-01,Cuyo,Para Hoteles,845,""
2016-02-01,Córdoba,1 y 2 estrellas,1531,""
2016-02-01,Córdoba,3 estrellas/boutiques/aparts,1431,""
2016-02-01,Córdoba,4 y 5 estrellas,949,""
2016-02-01,Córdoba,Para Hoteles,2096,""
2016-02-01,Litoral,1 y 2 estrellas,783,""
2016-02-01,Litoral,3 estrellas/boutiques/aparts,1887,""
2016-02-01,Litoral,4 y 5 estrellas,3699,""
2016-02-01,Litoral,Para Hoteles,1470,""
2016-02-01,Norte,1 y 2 estrellas,821,""
2016-02-01,Norte,3 estrellas/boutiques/aparts,1680,""
2016-02-01,Norte,4 y 5 estrellas,2194,""
2016-02-01,Norte,Para Hoteles,1486,""
2016-02-01,Patagonia,1 y 2 estrellas,1718,""
2016-02-01,Patagonia,3 estrellas/boutiques/aparts,2888,""
2016-02-01,Patagonia,4 y 5 estrellas,4244,""
2016-02-01,Patagonia,Para Hoteles,2764,""
2016-03-01,Buenos Aires,1 y 2 estrellas,1113,""
2016-03-01,Buenos Aires,3 estrellas/boutiques/aparts,2359,""
2016-03-01,Buenos Aires,4 y 5 estrellas,1632,""
2016-03-01,Buenos Aires,Para Hoteles,2539,""
2016-03-01,CABA,1 y 2 estrellas,893,""
2016-03-01,CABA,3 estrellas/boutiques/aparts,3488,""
2016-03-01,CABA,4 y 5 estrellas,8404,""
2016-03-01,CABA,Para Hoteles,1479,""
2016-03-01,Cuyo,1 y 2 estrellas,927,""
2016-03-01,Cuyo,3 estrellas/boutiques/aparts,1756,""
2016-03-01,Cuyo,4 y 5 estrellas,2631,""
2016-03-01,Cuyo,Para Hoteles,767,""
2016-03-01,Córdoba,1 y 2 estrellas,1248,""
2016-03-01,Córdoba,3 estrellas/boutiques/aparts,1332,""
2016-03-01,Córdoba,4 y 5 estrellas,909,""
2016-03-01,Córdoba,Para Hoteles,1681,""
2016-03-01,Litoral,1 y 2 estrellas,776,""
2016-03-01,Litoral,3 estrellas/boutiques/aparts,1890,""
2016-03-01,Litoral,4 y 5 estrellas,3517,""
2016-03-01,Litoral,Para Hoteles,1268,""
2016-03-01,Norte,1 y 2 estrellas,828,""
2016-03-01,Norte,3 estrellas/boutiques/aparts,1801,""
2016-03-01,Norte,4 y 5 estrellas,2166,""
2016-03-01,Norte,Para Hoteles,1383,""
2016-03-01,Patagonia,1 y 2 estrellas,1278,""
2016-03-01,Patagonia,3 estrellas/boutiques/aparts,2746,""
2016-03-01,Patagonia,4 y 5 estrellas,3978,""
2016-03-01,Patagonia,Para Hoteles,2203,""
2016-04-01,Buenos Aires,1 y 2 estrellas,511,""
2016-04-01,Buenos Aires,3 estrellas/boutiques/aparts,1623,""
2016-04-01,Buenos Aires,4 y 5 estrellas,1583,""
2016-04-01,Buenos Aires,Para Hoteles,1502,""
2016-04-01,CABA,1 y 2 estrellas,854,""
2016-04-01,CABA,3 estrellas/boutiques/aparts,3584,""
2016-04-01,CABA,4 y 5 estrellas,8442,""
2016-04-01,CABA,Para Hoteles,1438,""
2016-04-01,Cuyo,1 y 2 estrellas,822,""
2016-04-01,Cuyo,3 estrellas/boutiques/aparts,1819,""
2016-04-01,Cuyo,4 y 5 estrellas,2610,""
2016-04-01,Cuyo,Para Hoteles,765,""
2016-04-01,Córdoba,1 y 2 estrellas,906,""
2016-04-01,Córdoba,3 estrellas/boutiques/aparts,1321,""
2016-04-01,Córdoba,4 y 5 estrellas,894,""
2016-04-01,Córdoba,Para Hoteles,1425,""
2016-04-01,Litoral,1 y 2 estrellas,787,""
2016-04-01,Litoral,3 estrellas/boutiques/aparts,1892,""
2016-04-01,Litoral,4 y 5 estrellas,3477,""
2016-04-01,Litoral,Para Hoteles,1202,""
2016-04-01,Norte,1 y 2 estrellas,863,""
2016-04-01,Norte,3 estrellas/boutiques/aparts,1736,""
2016-04-01,Norte,4 y 5 estrellas,2173,""
2016-04-01,Norte,Para Hoteles,1379,""
2016-04-01,Patagonia,1 y 2 estrellas,1241,""
2016-04-01,Patagonia,3 estrellas/boutiques/aparts,2534,""
2016-04-01,Patagonia,4 y 5 estrellas,3601,""
2016-04-01,Patagonia,Para Hoteles,1778,""
2016-05-01,Buenos Aires,1 y 2 estrellas,434,""
2016-05-01,Buenos Aires,3 estrellas/boutiques/aparts,1501,""
2016-05-01,Buenos Aires,4 y 5 estrellas,1302,""
2016-05-01,Buenos Aires,Para Hoteles,1174,""
2016-05-01,CABA,1 y 2 estrellas,850,""
2016-05-01,CABA,3 estrellas/boutiques/aparts,3581,""
2016-05-01,CABA,4 y 5 estrellas,8278,""
2016-05-01,CABA,Para Hoteles,1456,""
2016-05-01,Cuyo,1 y 2 estrellas,797,""
2016-05-01,Cuyo,3 estrellas/boutiques/aparts,1747,""
2016-05-01,Cuyo,4 y 5 estrellas,2601,""
2016-05-01,Cuyo,Para Hoteles,718,""
2016-05-01,Córdoba,1 y 2 estrellas,883,""
2016-05-01,Córdoba,3 estrellas/boutiques/aparts,1290,""
2016-05-01,Córdoba,4 y 5 estrellas,903,""
2016-05-01,Córdoba,Para Hoteles,1290,""
2016-05-01,Litoral,1 y 2 estrellas,781,""
2016-05-01,Litoral,3 estrellas/boutiques/aparts,1796,""
2016-05-01,Litoral,4 y 5 estrellas,3553,""
2016-05-01,Litoral,Para Hoteles,1200,""
2016-05-01,Norte,1 y 2 estrellas,959,""
2016-05-01,Norte,3 estrellas/boutiques/aparts,1729,""
2016-05-01,Norte,4 y 5 estrellas,2230,""
2016-05-01,Norte,Para Hoteles,1238,""
2016-05-01,Patagonia,1 y 2 estrellas,1220,""
2016-05-01,Patagonia,3 estrellas/boutiques/aparts,2099,""
2016-05-01,Patagonia,4 y 5 estrellas,3325,""
2016-05-01,Patagonia,Para Hoteles,1377,""
2016-06-01,Buenos Aires,1 y 2 estrellas,459,""
2016-06-01,Buenos Aires,3 estrellas/boutiques/aparts,1579,""
2016-06-01,Buenos Aires,4 y 5 estrellas,1243,""
2016-06-01,Buenos Aires,Para Hoteles,1207,""
2016-06-01,CABA,1 y 2 estrellas,864,""
2016-06-01,CABA,3 estrellas/boutiques/aparts,3533,""
2016-06-01,CABA,4 y 5 estrellas,8320,""
2016-06-01,CABA,Para Hoteles,1454,""
2016-06-01,Cuyo,1 y 2 estrellas,804,""
2016-06-01,Cuyo,3 estrellas/boutiques/aparts,1754,""
2016-06-01,Cuyo,4 y 5 estrellas,2627,""
2016-06-01,Cuyo,Para Hoteles,712,""
2016-06-01,Córdoba,1 y 2 estrellas,982,""
2016-06-01,Córdoba,3 estrellas/boutiques/aparts,1286,""
2016-06-01,Córdoba,4 y 5 estrellas,882,""
2016-06-01,Córdoba,Para Hoteles,1278,""
2016-06-01,Litoral,1 y 2 estrellas,788,""
2016-06-01,Litoral,3 estrellas/boutiques/aparts,1884,""
2016-06-01,Litoral,4 y 5 estrellas,3489,""
2016-06-01,Litoral,Para Hoteles,1187,""
2016-06-01,Norte,1 y 2 estrellas,1041,""
2016-06-01,Norte,3 estrellas/boutiques/aparts,1657,""
2016-06-01,Norte,4 y 5 estrellas,2196,""
2016-06-01,Norte,Para Hoteles,1265,""
2016-06-01,Patagonia,1 y 2 estrellas,1168,""
2016-06-01,Patagonia,3 estrellas/boutiques/aparts,2207,""
2016-06-01,Patagonia,4 y 5 estrellas,2882,""
2016-06-01,Patagonia,Para Hoteles,1548,""
2016-07-01,Buenos Aires,1 y 2 estrellas,476,""
2016-07-01,Buenos Aires,3 estrellas/boutiques/aparts,1691,""
2016-07-01,Buenos Aires,4 y 5 estrellas,1290,""
2016-07-01,Buenos Aires,Para Hoteles,1318,""
2016-07-01,CABA,1 y 2 estrellas,860,""
2016-07-01,CABA,3 estrellas/boutiques/aparts,3526,""
2016-07-01,CABA,4 y 5 estrellas,8344,""
2016-07-01,CABA,Para Hoteles,1439,""
2016-07-01,Cuyo,1 y 2 estrellas,960,""
2016-07-01,Cuyo,3 estrellas/boutiques/aparts,1518,""
2016-07-01,Cuyo,4 y 5 estrellas,2631,""
2016-07-01,Cuyo,Para Hoteles,811,""
2016-07-01,Córdoba,1 y 2 estrellas,1075,""
2016-07-01,Córdoba,3 estrellas/boutiques/aparts,1340,""
2016-07-01,Córdoba,4 y 5 estrellas,896,""
2016-07-01,Córdoba,Para Hoteles,1593,""
2016-07-01,Litoral,1 y 2 estrellas,821,""
2016-07-01,Litoral,3 estrellas/boutiques/aparts,1847,""
2016-07-01,Litoral,4 y 5 estrellas,3317,""
2016-07-01,Litoral,Para Hoteles,1257,""
2016-07-01,Norte,1 y 2 estrellas,1194,""
2016-07-01,Norte,3 estrellas/boutiques/aparts,1843,""
2016-07-01,Norte,4 y 5 estrellas,2308,""
2016-07-01,Norte,Para Hoteles,1464,""
2016-07-01,Patagonia,1 y 2 estrellas,1557,""
2016-07-01,Patagonia,3 estrellas/boutiques/aparts,2626,""
2016-07-01,Patagonia,4 y 5 estrellas,3227,""
2016-07-01,Patagonia,Para Hoteles,2063,""
2016-08-01,Buenos Aires,1 y 2 estrellas,458,""
2016-08-01,Buenos Aires,3 estrellas/boutiques/aparts,1736,""
2016-08-01,Buenos Aires,4 y 5 estrellas,1324,""
2016-08-01,Buenos Aires,Para Hoteles,1476,""
2016-08-01,CABA,1 y 2 estrellas,859,""
2016-08-01,CABA,3 estrellas/boutiques/aparts,3455,""
2016-08-01,CABA,4 y 5 estrellas,8302,""
2016-08-01,CABA,Para Hoteles,1369,""
2016-08-01,Cuyo,1 y 2 estrellas,893,""
2016-08-01,Cuyo,3 estrellas/boutiques/aparts,1799,""
2016-08-01,Cuyo,4 y 5 estrellas,2666,""
2016-08-01,Cuyo,Para Hoteles,740,""
2016-08-01,Córdoba,1 y 2 estrellas,959,""
2016-08-01,Córdoba,3 estrellas/boutiques/aparts,1294,""
2016-08-01,Córdoba,4 y 5 estrellas,889,""
2016-08-01,Córdoba,Para Hoteles,1348,""
2016-08-01,Litoral,1 y 2 estrellas,782,""
2016-08-01,Litoral,3 estrellas/boutiques/aparts,1886,""
2016-08-01,Litoral,4 y 5 estrellas,3420,""
2016-08-01,Litoral,Para Hoteles,1144,""
2016-08-01,Norte,1 y 2 estrellas,1107,""
2016-08-01,Norte,3 estrellas/boutiques/aparts,1873,""
2016-08-01,Norte,4 y 5 estrellas,2311,""
2016-08-01,Norte,Para Hoteles,1277,""
2016-08-01,Patagonia,1 y 2 estrellas,1716,""
2016-08-01,Patagonia,3 estrellas/boutiques/aparts,2611,""
2016-08-01,Patagonia,4 y 5 estrellas,3521,""
2016-08-01,Patagonia,Para Hoteles,2000,""
2016-09-01,Buenos Aires,1 y 2 estrellas,490,""
2016-09-01,Buenos Aires,3 estrellas/boutiques/aparts,1644,""
2016-09-01,Buenos Aires,4 y 5 estrellas,1340,""
2016-09-01,Buenos Aires,Para Hoteles,1321,""
2016-09-01,CABA,1 y 2 estrellas,896,""
2016-09-01,CABA,3 estrellas/boutiques/aparts,3403,""
2016-09-01,CABA,4 y 5 estrellas,8363,""
2016-09-01,CABA,Para Hoteles,1414,""
2016-09-01,Cuyo,1 y 2 estrellas,862,""
2016-09-01,Cuyo,3 estrellas/boutiques/aparts,1820,""
2016-09-01,Cuyo,4 y 5 estrellas,2756,""
2016-09-01,Cuyo,Para Hoteles,753,""
2016-09-01,Córdoba,1 y 2 estrellas,1017,""
2016-09-01,Córdoba,3 estrellas/boutiques/aparts,1321,""
2016-09-01,Córdoba,4 y 5 estrellas,886,""
2016-09-01,Córdoba,Para Hoteles,1420,""
2016-09-01,Litoral,1 y 2 estrellas,775,""
2016-09-01,Litoral,3 estrellas/boutiques/aparts,1895,""
2016-09-01,Litoral,4 y 5 estrellas,3494,""
2016-09-01,Litoral,Para Hoteles,1164,""
2016-09-01,Norte,1 y 2 estrellas,973,""
2016-09-01,Norte,3 estrellas/boutiques/aparts,1851,""
2016-09-01,Norte,4 y 5 estrellas,2300,""
2016-09-01,Norte,Para Hoteles,1252,""
2016-09-01,Patagonia,1 y 2 estrellas,1788,""
2016-09-01,Patagonia,3 estrellas/boutiques/aparts,2803,""
2016-09-01,Patagonia,4 y 5 estrellas,3859,""
2016-09-01,Patagonia,Para Hoteles,1908,""
2016-10-01,Buenos Aires,1 y 2 estrellas,559,""
2016-10-01,Buenos Aires,3 estrellas/boutiques/aparts,1812,""
2016-10-01,Buenos Aires,4 y 5 estrellas,1642,""
2016-10-01,Buenos Aires,Para Hoteles,1553,""
2016-10-01,CABA,1 y 2 estrellas,863,""
2016-10-01,CABA,3 estrellas/boutiques/aparts,3457,""
2016-10-01,CABA,4 y 5 estrellas,8490,""
2016-10-01,CABA,Para Hoteles,1387,""
2016-10-01,Cuyo,1 y 2 estrellas,858,""
2016-10-01,Cuyo,3 estrellas/boutiques/aparts,1872,""
2016-10-01,Cuyo,4 y 5 estrellas,2521,""
2016-10-01,Cuyo,Para Hoteles,776,""
2016-10-01,Córdoba,1 y 2 estrellas,1128,""
2016-10-01,Córdoba,3 estrellas/boutiques/aparts,1300,""
2016-10-01,Córdoba,4 y 5 estrellas,890,""
2016-10-01,Córdoba,Para Hoteles,1568,""
2016-10-01,Litoral,1 y 2 estrellas,755,""
2016-10-01,Litoral,3 estrellas/boutiques/aparts,1905,""
2016-10-01,Litoral,4 y 5 estrellas,3517,""
2016-10-01,Litoral,Para Hoteles,1208,""
2016-10-01,Norte,1 y 2 estrellas,906,""
2016-10-01,Norte,3 estrellas/boutiques/aparts,1766,""
2016-10-01,Norte,4 y 5 estrellas,2172,""
2016-10-01,Norte,Para Hoteles,1200,""
2016-10-01,Patagonia,1 y 2 estrellas,1741,""
2016-10-01,Patagonia,3 estrellas/boutiques/aparts,2679,""
2016-10-01,Patagonia,4 y 5 estrellas,3869,""
2016-10-01,Patagonia,Para Hoteles,2036,""
2016-11-01,Buenos Aires,1 y 2 estrellas,574,""
2016-11-01,Buenos Aires,3 estrellas/boutiques/aparts,1881,""
2016-11-01,Buenos Aires,4 y 5 estrellas,1616,""
2016-11-01,Buenos Aires,Para Hoteles,2038,""
2016-11-01,CABA,1 y 2 estrellas,914,""
2016-11-01,CABA,3 estrellas/boutiques/aparts,3508,""
2016-11-01,CABA,4 y 5 estrellas,8493,""
2016-11-01,CABA,Para Hoteles,1401,""
2016-11-01,Cuyo,1 y 2 estrellas,858,""
2016-11-01,Cuyo,3 estrellas/boutiques/aparts,1826,""
2016-11-01,Cuyo,4 y 5 estrellas,3023,""
2016-11-01,Cuyo,Para Hoteles,739,""
2016-11-01,Córdoba,1 y 2 estrellas,1145,""
2016-11-01,Córdoba,3 estrellas/boutiques/aparts,1311,""
2016-11-01,Córdoba,4 y 5 estrellas,897,""
2016-11-01,Córdoba,Para Hoteles,1493,""
2016-11-01,Litoral,1 y 2 estrellas,746,""
2016-11-01,Litoral,3 estrellas/boutiques/aparts,1918,""
2016-11-01,Litoral,4 y 5 estrellas,3802,""
2016-11-01,Litoral,Para Hoteles,1183,""
2016-11-01,Norte,1 y 2 estrellas,778,""
2016-11-01,Norte,3 estrellas/boutiques/aparts,1715,""
2016-11-01,Norte,4 y 5 estrellas,2162,""
2016-11-01,Norte,Para Hoteles,1261,""
2016-11-01,Patagonia,1 y 2 estrellas,1472,""
2016-11-01,Patagonia,3 estrellas/boutiques/aparts,2915,""
2016-11-01,Patagonia,4 y 5 estrellas,4040,""
2016-11-01,Patagonia,Para Hoteles,1992,""
2016-12-01,Buenos Aires,1 y 2 estrellas,893,""
2016-12-01,Buenos Aires,3 estrellas/boutiques/aparts,2414,""
2016-12-01,Buenos Aires,4 y 5 estrellas,1790,""
2016-12-01,Buenos Aires,Para Hoteles,2376,""
2016-12-01,CABA,1 y 2 estrellas,866,""
2016-12-01,CABA,3 estrellas/boutiques/aparts,3500,""
2016-12-01,CABA,4 y 5 estrellas,8669,""
2016-12-01,CABA,Para Hoteles,1322,""
2016-12-01,Cuyo,1 y 2 estrellas,671,""
2016-12-01,Cuyo,3 estrellas/boutiques/aparts,1881,""
2016-12-01,Cuyo,4 y 5 estrellas,2547,""
2016-12-01,Cuyo,Para Hoteles,714,""
2016-12-01,Córdoba,1 y 2 estrellas,1120,""
2016-12-01,Córdoba,3 estrellas/boutiques/aparts,1305,""
2016-12-01,Córdoba,4 y 5 estrellas,915,""
2016-12-01,Córdoba,Para Hoteles,1588,""
2016-12-01,Litoral,1 y 2 estrellas,745,""
2016-12-01,Litoral,3 estrellas/boutiques/aparts,1873,""
2016-12-01,Litoral,4 y 5 estrellas,3582,""
2016-12-01,Litoral,Para Hoteles,1218,""
2016-12-01,Norte,1 y 2 estrellas,699,""
2016-12-01,Norte,3 estrellas/boutiques/aparts,1638,""
2016-12-01,Norte,4 y 5 estrellas,2058,""
2016-12-01,Norte,Para Hoteles,1233,""
2016-12-01,Patagonia,1 y 2 estrellas,1817,""
2016-12-01,Patagonia,3 estrellas/boutiques/aparts,2796,""
2016-12-01,Patagonia,4 y 5 estrellas,4125,""
2016-12-01,Patagonia,Para Hoteles,2086,""
2017-01-01,Buenos Aires,1 y 2 estrellas,1883,""
2017-01-01,Buenos Aires,3 estrellas/boutiques/aparts,2965,""
2017-01-01,Buenos Aires,4 y 5 estrellas,2093,""
2017-01-01,Buenos Aires,Para Hoteles,3843,""
2017-01-01,CABA,1 y 2 estrellas,860,""
2017-01-01,CABA,3 estrellas/boutiques/aparts,3430,""
2017-01-01,CABA,4 y 5 estrellas,8270,""
2017-01-01,CABA,Para Hoteles,1371,""
2017-01-01,Cuyo,1 y 2 estrellas,840,""
2017-01-01,Cuyo,3 estrellas/boutiques/aparts,2187,""
2017-01-01,Cuyo,4 y 5 estrellas,2667,""
2017-01-01,Cuyo,Para Hoteles,835,""
2017-01-01,Córdoba,1 y 2 estrellas,1624,""
2017-01-01,Córdoba,3 estrellas/boutiques/aparts,1384,""
2017-01-01,Córdoba,4 y 5 estrellas,932,""
2017-01-01,Córdoba,Para Hoteles,2099,""
2017-01-01,Litoral,1 y 2 estrellas,706,""
2017-01-01,Litoral,3 estrellas/boutiques/aparts,1880,""
2017-01-01,Litoral,4 y 5 estrellas,3702,""
2017-01-01,Litoral,Para Hoteles,1655,""
2017-01-01,Norte,1 y 2 estrellas,831,""
2017-01-01,Norte,3 estrellas/boutiques/aparts,1510,""
2017-01-01,Norte,4 y 5 estrellas,2202,""
2017-01-01,Norte,Para Hoteles,1470,""
2017-01-01,Patagonia,1 y 2 estrellas,2102,""
2017-01-01,Patagonia,3 estrellas/boutiques/aparts,3058,""
2017-01-01,Patagonia,4 y 5 estrellas,4131,""
2017-01-01,Patagonia,Para Hoteles,2763,""
2017-02-01,Buenos Aires,1 y 2 estrellas,1828,""
2017-02-01,Buenos Aires,3 estrellas/boutiques/aparts,2963,""
2017-02-01,Buenos Aires,4 y 5 estrellas,2026,""
2017-02-01,Buenos Aires,Para Hoteles,3841,""
2017-02-01,CABA,1 y 2 estrellas,855,""
2017-02-01,CABA,3 estrellas/boutiques/aparts,3443,""
2017-02-01,CABA,4 y 5 estrellas,8047,""
2017-02-01,CABA,Para Hoteles,1387,""
2017-02-01,Cuyo,1 y 2 estrellas,850,""
2017-02-01,Cuyo,3 estrellas/boutiques/aparts,2103,""
2017-02-01,Cuyo,4 y 5 estrellas,2736,""
2017-02-01,Cuyo,Para Hoteles,831,""
2017-02-01,Córdoba,1 y 2 estrellas,1615,""
2017-02-01,Córdoba,3 estrellas/boutiques/aparts,1383,""
2017-02-01,Córdoba,4 y 5 estrellas,922,""
2017-02-01,Córdoba,Para Hoteles,2082,""
2017-02-01,Litoral,1 y 2 estrellas,721,""
2017-02-01,Litoral,3 estrellas/boutiques/aparts,1892,""
2017-02-01,Litoral,4 y 5 estrellas,3702,""
